yyyyjjj, 91F8, 92B7, 9338, 9406, 98E6, 9BC5, 9D7C, AB13,
2018172,    0,    0,    0,    1,    1,    0,    0,    0,
2018173,    1,    0,    0,    1,    1,    0,    0,    0,
2018174,    0,    0,    0,    0,    0,    0,    0,    0,
2018175,    0,    0,    0,    0,    0,    0,    0,    0,
2018176,    0,    0,    0,    0,    0,    0,    0,    0,
2018177,    0,    0,    0,    0,    0,    0,    0,    0,
2018178,    0,    0,    0,    0,    0,    0,    0,    0,
2018179,    0,    0,    0,    0,    0,    0,    0,    0,
2018180,    0,    0,    0,    0,    0,    0,    0,    0,
2018181,    0,    0,    0,    0,    0,    0,    0,    0,
2018182,    0,    0,    0,    0,    0,    0,    0,    0,
2018183,    0,    0,    0,    0,    0,    0,    0,    0,
2018184,    0,    0,    0,    0,    0,    0,    0,    0,
2018185,    0,    0,    0,    0,    0,    0,    0,    0,
2018186,    0,    0,    0,    0,    0,    0,    0,    0,
2018187,    0,    0,    0,    0,    0,    0,    0,    0,
2018188,    0,    0,    0,    0,    0,    0,    0,    0,
2018189,    0,    0,    0,    0,    0,    0,    0,    0,
2018190,    0,    0,    0,    0,    0,    0,    0,    0,
2018191,    0,    0,    0,    0,    0,    0,    0,    0,
2018192,    0,    0,    0,    0,    0,    0,    0,    0,
2018193,    0,    0,    0,    0,    0,    0,    0,    0,
2018194,    0,    0,    0,    0,    0,    0,    0,    0,
2018195,    0,    0,    0,    0,    0,    0,    0,    0,
2018196,    0,    0,    0,    0,    0,    0,    0,    0,
2018197,    0,    0,    0,    0,    0,    0,    0,    0,
2018198,    0,    0,    0,    0,    0,    0,    0,    0,
2018199,    0,    0,    0,    0,    0,    0,    0,    0,
2018200,    0,    0,    0,    0,    0,    0,    0,    0,
2018201,    0,    0,    0,    0,    0,    0,    0,    0,
2018202,    0,    0,    0,    0,    0,    0,    0,    0,
2018203,    0,    0,    0,    0,    0,    0,    0,    0,
2018204,    0,    0,    0,    0,    0,    0,    0,    0,
2018205,    0,    0,    0,    0,    0,    0,    0,    0,
2018206,    0,    0,    0,    0,    0,    0,    0,    0,
2018207,    0,    0,    0,    0,    0,    0,    0,    0,
2018208,    0,    0,    0,    0,    0,    0,    0,    0,
2018209,    0,    0,    0,    0,    0,    0,    0,    0,
2018210,    0,    0,    0,    0,    0,    0,    0,    0,
2018211,    0,    0,    0,    0,    0,    0,    0,    0,
2018212,    0,    0,    0,    0,    0,    0,    0,    0,
2018213,    0,    0,    0,    0,    0,    0,    0,    0,
2018214,    0,    0,    0,    0,    0,    0,    0,    0,
2018215,    0,    0,    0,    0,    0,    0,    0,    0,
2018216,    0,    0,    0,    0,    0,    0,    0,    0,
2018217,    0,    0,    0,    0,    0,    0,    0,    0,
