,Digitizer,yyyyjjj,Latitude,LatSTD,dates
0,92B7,2018222,28.0595,2.8867513458681453e-05,2018-08-10
1,92B7,2018223,28.0595,1.8559214542252517e-05,2018-08-11
2,92B7,2018229,28.573463888888888,2.721655270429592e-06,2018-08-17
3,92B7,2018230,28.573469444444445,1.7899429988238652e-06,2018-08-18
4,92B7,2018231,28.573469444444445,2.6032870393506316e-06,2018-08-19
5,92B7,2018233,28.573469444444445,3.552713678800501e-15,2018-08-21
6,92B7,2018234,28.573469444444445,3.552713678800501e-15,2018-08-22
7,92B7,2018235,28.573469444444445,3.552713678800501e-15,2018-08-23
63,92B7,2018338,28.573469444444445,0.0,2018-12-04
66,92B7,2018339,28.573469444444445,3.552713678800501e-15,2018-12-05
71,92B7,2018340,28.573469444444445,7.105427357601002e-15,2018-12-06
76,92B7,2018341,28.573469444444445,3.552713678800501e-15,2018-12-07
81,92B7,2018342,28.573469444444445,3.552713678800501e-15,2018-12-08
102,92B7,2018347,28.573466666666665,1.3877773342067813e-06,2018-12-13
106,92B7,2018348,28.573466666666665,1.3070827690050255e-06,2018-12-14
110,92B7,2018349,28.573469444444445,1.3729755669845635e-06,2018-12-15
114,92B7,2018350,28.573469444444445,1.3613861398198424e-06,2018-12-16
118,92B7,2018351,28.573469444444445,1.3640156490422408e-06,2018-12-17
122,92B7,2018352,28.573466666666665,1.3888627524783912e-06,2018-12-18
126,92B7,2018353,28.573466666666665,1.3474588053672229e-06,2018-12-19
130,92B7,2018354,28.573466666666665,1.2957670888912525e-06,2018-12-20
134,92B7,2018355,28.573466666666665,3.3797683572857704e-06,2018-12-21
138,92B7,2018356,28.573469444444445,3.7033561829582387e-06,2018-12-22
142,92B7,2018357,28.573469444444445,3.7017137055531016e-06,2018-12-23
146,92B7,2018358,28.57347222222222,3.927219682386848e-06,2018-12-24
150,92B7,2018359,28.573475,4.163090911224084e-06,2018-12-25
154,92B7,2018360,28.573475,4.142895152915787e-06,2018-12-26
