,Digitizer,yyyyjjj,Latitude,LatSTD,dates
12,9406,2018290,28.573283333333332,3.552713678800501e-15,2018-10-17
909,9406,2019176,28.573283333333332,3.552713678800501e-15,2019-06-25
1011,9406,2019204,28.573241666666668,2.509744175355108e-06,2019-07-23
1017,9406,2019205,28.57328888888889,2.3552629905462017e-05,2019-07-24
1023,9406,2019206,28.57328888888889,2.1578142542059315e-05,2019-07-25
1029,9406,2019207,28.573283333333332,2.0758784025317508e-05,2019-07-26
1034,9406,2019208,28.57328888888889,2.1851268761287417e-05,2019-07-27
1040,9406,2019209,28.57328888888889,2.5621192541634208e-05,2019-07-28
1046,9406,2019210,28.573266666666665,2.6701845763043507e-05,2019-07-29
1052,9406,2019211,28.573266666666665,2.584770113020443e-05,2019-07-30
1058,9406,2019212,28.573283333333332,2.6346921193815552e-05,2019-07-31
1064,9406,2019213,28.573283333333332,2.9401099926982567e-05,2019-08-01
1070,9406,2019214,28.57328888888889,3.245915698998529e-05,2019-08-02
1076,9406,2019215,28.57327777777778,3.2016943767085484e-05,2019-08-03
1082,9406,2019216,28.573216666666667,2.0210600293133782e-05,2019-08-04
1088,9406,2019217,28.573216666666667,2.455854062869e-05,2019-08-05
1094,9406,2019218,28.573261111111112,2.5343066264082232e-05,2019-08-06
1100,9406,2019219,28.573266666666665,1.5780575903056046e-05,2019-08-07
1106,9406,2019220,28.573266666666665,1.2920751489724046e-05,2019-08-08
1112,9406,2019221,28.573269444444445,1.2018086365481469e-05,2019-08-09
1118,9406,2019222,28.573269444444445,8.547672126657341e-06,2019-08-10
1124,9406,2019223,28.573272222222222,3.6084391822130886e-06,2019-08-11
1130,9406,2019224,28.573269444444445,4.361061349473788e-06,2019-08-12
1136,9406,2019225,28.573269444444445,5.542356664119838e-06,2019-08-13
1142,9406,2019226,28.573269444444445,4.059395214567977e-06,2019-08-14
1148,9406,2019227,28.573269444444445,8.125263931365521e-06,2019-08-15
1154,9406,2019228,28.573275,1.0601459760794681e-05,2019-08-16
1160,9406,2019229,28.573272222222222,9.111775807116197e-06,2019-08-17
1166,9406,2019230,28.573270833333332,1.0340185502352766e-05,2019-08-18
1172,9406,2019231,28.573269444444445,9.76013370368123e-06,2019-08-19
1177,9406,2019232,28.573268055555555,1.3888888901192331e-06,2019-08-20
1182,9406,2019233,28.573266666666665,1.2628801042788592e-05,2019-08-21
1187,9406,2019234,28.573266666666665,1.4154771571989622e-05,2019-08-22
