,Digitizer,yyyyjjj,Latitude,LatSTD,dates
629,9BC5,2019103,28.572883333333333,7.980837132111843e-05,2019-04-13
634,9BC5,2019104,28.572883333333333,9.190992868411259e-05,2019-04-14
639,9BC5,2019105,28.572883333333333,7.663148919377245e-05,2019-04-15
644,9BC5,2019106,28.572883333333333,5.5965111711505305e-05,2019-04-16
649,9BC5,2019107,28.572866666666666,5.432591613991043e-05,2019-04-17
654,9BC5,2019108,28.572875,4.740060262995169e-05,2019-04-18
659,9BC5,2019109,28.572866666666666,5.4097510365032354e-05,2019-04-19
663,9BC5,2019110,28.572883333333333,5.690337050672619e-05,2019-04-20
667,9BC5,2019111,28.572883333333333,0.0,2019-04-21
672,9BC5,2019112,28.572883333333333,0.0,2019-04-22
677,9BC5,2019113,28.572883333333333,0.0,2019-04-23
682,9BC5,2019114,28.572883333333333,7.084374301168003e-05,2019-04-24
687,9BC5,2019115,28.572883333333333,9.862208690185705e-05,2019-04-25
692,9BC5,2019116,28.572983333333333,9.67334346753325e-05,2019-04-26
697,9BC5,2019117,28.572983333333333,0.0001086765210219187,2019-04-27
702,9BC5,2019118,28.572775,0.00012081709556803504,2019-04-28
707,9BC5,2019119,28.573016666666668,0.00011839200423496955,2019-04-29
712,9BC5,2019120,28.573016666666668,0.00011324298618428373,2019-04-30
717,9BC5,2019121,28.573016666666668,3.552713678800501e-15,2019-05-01
721,9BC5,2019122,28.573016666666668,3.552713678800501e-15,2019-05-02
726,9BC5,2019123,28.573016666666668,3.552713678800501e-15,2019-05-03
731,9BC5,2019124,28.573016666666668,0.0,2019-05-04
736,9BC5,2019125,28.573016666666668,3.552713678800501e-15,2019-05-05
741,9BC5,2019126,28.573016666666668,3.552713678800501e-15,2019-05-06
746,9BC5,2019127,28.573016666666668,3.552713678800501e-15,2019-05-07
751,9BC5,2019128,28.573016666666668,7.105427357601002e-15,2019-05-08
756,9BC5,2019129,28.573016666666668,0.0,2019-05-09
761,9BC5,2019130,28.573016666666668,0.0,2019-05-10
766,9BC5,2019131,28.573016666666668,3.552713678800501e-15,2019-05-11
771,9BC5,2019132,28.573016666666668,0.0,2019-05-12
776,9BC5,2019133,28.573016666666668,1.0658141036401503e-14,2019-05-13
781,9BC5,2019134,28.573016666666668,0.0,2019-05-14
785,9BC5,2019135,28.573016666666668,0.0,2019-05-15
789,9BC5,2019136,28.573016666666668,0.0,2019-05-16
793,9BC5,2019137,28.573016666666668,3.552713678800501e-15,2019-05-17
797,9BC5,2019138,28.573016666666668,3.552713678800501e-15,2019-05-18
801,9BC5,2019139,28.573016666666668,3.552713678800501e-15,2019-05-19
805,9BC5,2019140,28.573016666666668,0.0,2019-05-20
809,9BC5,2019141,28.573016666666668,1.0658141036401503e-14,2019-05-21
813,9BC5,2019142,28.573016666666668,3.552713678800501e-15,2019-05-22
817,9BC5,2019143,28.573016666666668,3.552713678800501e-15,2019-05-23
821,9BC5,2019144,28.573016666666668,0.0,2019-05-24
825,9BC5,2019145,28.573016666666668,3.552713678800501e-15,2019-05-25
829,9BC5,2019146,28.573016666666668,3.552713678800501e-15,2019-05-26
833,9BC5,2019147,28.573016666666668,0.0,2019-05-27
837,9BC5,2019148,28.573016666666668,0.0,2019-05-28
841,9BC5,2019149,28.573016666666668,0.0,2019-05-29
845,9BC5,2019150,28.573016666666668,3.552713678800501e-15,2019-05-30
849,9BC5,2019151,28.573016666666668,0.0,2019-05-31
853,9BC5,2019152,28.573016666666668,0.0,2019-06-01
857,9BC5,2019153,28.573016666666668,0.0,2019-06-02
861,9BC5,2019154,28.573016666666668,3.552713678800501e-15,2019-06-03
865,9BC5,2019155,28.573016666666668,0.0,2019-06-04
869,9BC5,2019156,28.573016666666668,0.0,2019-06-05
872,9BC5,2019157,28.573016666666668,0.0,2019-06-06
875,9BC5,2019158,28.573016666666668,0.0,2019-06-07
878,9BC5,2019159,28.573016666666668,0.0,2019-06-08
882,9BC5,2019160,28.573016666666668,0.0,2019-06-09
886,9BC5,2019161,28.573016666666668,0.0,2019-06-10
890,9BC5,2019162,28.573016666666668,3.552713678800501e-15,2019-06-11
893,9BC5,2019163,28.573016666666668,0.0,2019-06-12
895,9BC5,2019164,28.573016666666668,0.0,2019-06-13
897,9BC5,2019165,28.573016666666668,0.0,2019-06-14
898,9BC5,2019166,28.573016666666668,3.552713678800501e-15,2019-06-15
899,9BC5,2019167,28.573016666666668,3.552713678800501e-15,2019-06-16
900,9BC5,2019168,28.573016666666668,0.0,2019-06-17
901,9BC5,2019169,28.573016666666668,3.552713678800501e-15,2019-06-18
902,9BC5,2019170,28.573016666666668,0.0,2019-06-19
904,9BC5,2019171,28.573016666666668,0.0,2019-06-20
905,9BC5,2019172,28.573016666666668,3.552713678800501e-15,2019-06-21
906,9BC5,2019173,28.573016666666668,0.0,2019-06-22
907,9BC5,2019174,28.573016666666668,3.552713678800501e-15,2019-06-23
908,9BC5,2019175,28.573016666666668,0.0,2019-06-24
910,9BC5,2019176,28.573016666666668,0.0,2019-06-25
