,Digitizer,yyyyjjj,Latitude,LatSTD,dates
14,AB13,2018290,28.57327777777778,0.0,2018-10-17
69,AB13,2018339,28.57327777777778,4.6962705096932e-06,2018-12-05
74,AB13,2018340,28.57327777777778,4.8562090617609294e-06,2018-12-06
79,AB13,2018341,28.57328888888889,0.0,2018-12-07
84,AB13,2018342,28.57328888888889,1.643034250544761e-05,2018-12-08
88,AB13,2018343,28.573269444444445,8.165831129521423e-05,2018-12-09
92,AB13,2018344,28.57328888888889,8.478773607004293e-05,2018-12-10
96,AB13,2018345,28.57331388888889,8.195738906928531e-05,2018-12-11
100,AB13,2018346,28.573325,8.19125215451395e-05,2018-12-12
341,AB13,2019044,28.573319444444444,0.010089017638488238,2019-02-13
346,AB13,2019045,28.573325,0.009651797326545983,2019-02-14
351,AB13,2019046,28.57331388888889,8.431151559819661e-05,2019-02-15
356,AB13,2019047,28.57331388888889,0.011243560823706837,2019-02-16
361,AB13,2019048,28.55005277777778,0.011628485140665031,2019-02-17
366,AB13,2019049,28.55005277777778,3.552713678800501e-15,2019-02-18
371,AB13,2019050,28.550030555555555,1.012544665762714e-05,2019-02-19
380,AB13,2019052,28.55004166666667,0.0,2019-02-21
385,AB13,2019053,28.55004166666667,9.252070228119392e-05,2019-02-22
390,AB13,2019054,28.550250000000002,0.00010527478503737992,2019-02-23
395,AB13,2019055,28.550250000000002,0.0001047061678471314,2019-02-24
400,AB13,2019056,28.550044444444445,1.0028246930491343e-05,2019-02-25
405,AB13,2019057,28.55003888888889,1.8201165003164538e-05,2019-02-26
410,AB13,2019058,28.55003888888889,1.8759714637513528e-05,2019-02-27
415,AB13,2019059,28.55003888888889,4.0380030088904305e-05,2019-02-28
420,AB13,2019060,28.55003888888889,9.877928130381128e-05,2019-03-01
425,AB13,2019061,28.55003888888889,5.458190617108383e-06,2019-03-02
430,AB13,2019062,28.55003888888889,7.112171989183199e-06,2019-03-03
435,AB13,2019063,28.550033333333335,8.331849874170785e-06,2019-03-04
440,AB13,2019064,28.550050000000002,4.1111417786082036e-05,2019-03-05
445,AB13,2019065,28.550050000000002,8.916394924812674e-05,2019-03-06
450,AB13,2019066,28.550050000000002,7.581211768666582e-05,2019-03-07
455,AB13,2019067,28.550036111111112,7.703571527467954e-05,2019-03-08
460,AB13,2019068,28.550050000000002,9.212352379558752e-05,2019-03-09
465,AB13,2019069,28.55004166666667,0.00010602923043508013,2019-03-10
470,AB13,2019070,28.55004166666667,0.00010338612915246787,2019-03-11
475,AB13,2019071,28.55004166666667,8.817487930391028e-05,2019-03-12
480,AB13,2019072,28.55004166666667,8.389325600060707e-05,2019-03-13
485,AB13,2019073,28.55004166666667,8.071508182024481e-05,2019-03-14
490,AB13,2019074,28.550055555555556,8.207812698966e-05,2019-03-15
495,AB13,2019075,28.550055555555556,7.718770775433969e-05,2019-03-16
500,AB13,2019076,28.550044444444445,7.586415915771854e-05,2019-03-17
505,AB13,2019077,28.550055555555556,8.108356029404995e-05,2019-03-18
510,AB13,2019078,28.550047222222222,7.591595640916131e-05,2019-03-19
515,AB13,2019079,28.550058333333332,8.722252580708483e-05,2019-03-20
520,AB13,2019080,28.550061111111113,0.00010383419717695275,2019-03-21
525,AB13,2019081,28.550058333333332,9.752702945325601e-05,2019-03-22
530,AB13,2019082,28.550058333333332,8.552145942505559e-05,2019-03-23
535,AB13,2019083,28.550061111111113,7.732406333759424e-05,2019-03-24
540,AB13,2019084,28.550061111111113,8.08072116349302e-05,2019-03-25
545,AB13,2019085,28.55006388888889,7.746666340536103e-05,2019-03-26
550,AB13,2019086,28.55006388888889,7.630103420440014e-05,2019-03-27
555,AB13,2019087,28.55006388888889,7.46449158514129e-05,2019-03-28
560,AB13,2019088,28.55005277777778,5.895851500847608e-05,2019-03-29
565,AB13,2019089,28.55005277777778,1.2542118412706982e-05,2019-03-30
569,AB13,2019090,28.55004166666667,1.2559720648392114e-05,2019-03-31
574,AB13,2019091,28.55004166666667,1.192713613763919e-05,2019-04-01
579,AB13,2019092,28.550036111111112,1.111788131330965e-05,2019-04-02
584,AB13,2019093,28.550036111111112,1.0749644572214966e-05,2019-04-03
589,AB13,2019094,28.550036111111112,6.951998007838694e-06,2019-04-04
594,AB13,2019095,28.550036111111112,6.666666666887977e-06,2019-04-05
599,AB13,2019096,28.550036111111112,7.77709698452867e-06,2019-04-06
604,AB13,2019097,28.55005277777778,7.179750665999677e-06,2019-04-07
608,AB13,2019098,28.55005277777778,8.713072950229836e-06,2019-04-08
612,AB13,2019099,28.55005277777778,9.341951516820027e-06,2019-04-09
617,AB13,2019100,28.55005277777778,1.1396356190761221e-05,2019-04-10
621,AB13,2019101,28.55005277777778,1.0720231463470683e-05,2019-04-11
625,AB13,2019102,28.550044444444445,8.903004422195919e-06,2019-04-12
630,AB13,2019103,28.550044444444445,3.552713678800501e-15,2019-04-13
635,AB13,2019104,28.550044444444445,0.0,2019-04-14
640,AB13,2019105,28.550044444444445,7.105427357601002e-15,2019-04-15
645,AB13,2019106,28.550044444444445,1.0658141036401503e-14,2019-04-16
650,AB13,2019107,28.550044444444445,1.896179417642241e-05,2019-04-17
655,AB13,2019108,28.550044444444445,2.6348246805551737e-05,2019-04-18
660,AB13,2019109,28.5501,2.6694065698651698e-05,2019-04-19
664,AB13,2019110,28.5501,2.2861904265760602e-05,2019-04-20
668,AB13,2019111,28.5501,2.0397041913772323e-05,2019-04-21
673,AB13,2019112,28.5501,1.0658141036401503e-14,2019-04-22
678,AB13,2019113,28.5501,1.0658141036401503e-14,2019-04-23
683,AB13,2019114,28.5501,1.0658141036401503e-14,2019-04-24
688,AB13,2019115,28.5501,1.0658141036401503e-14,2019-04-25
693,AB13,2019116,28.5501,1.978134156154794e-05,2019-04-26
698,AB13,2019117,28.5501,1.8983420091607582e-05,2019-04-27
703,AB13,2019118,28.5501,1.19303149601723e-05,2019-04-28
708,AB13,2019119,28.5501,2.059867848973397e-05,2019-04-29
713,AB13,2019120,28.5501,2.144447458906436e-05,2019-04-30
718,AB13,2019121,28.5501,2.1650635093791323e-05,2019-05-01
722,AB13,2019122,28.5501,2.8334022763326333e-05,2019-05-02
