,mseed,best_predicted_class,all_predicted_classes,prob_r_mean,prob_r_std,prob_e_mean,prob_e_std,prob_l_mean,prob_l_std,prob_h_mean,prob_h_std,prob_t_mean,prob_t_std,count,MVO_subclass,GT_subclass
0,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-15-0658-30S.MVO_18_1.mseed,h,['h'],0.008,0.023,0.011,0.029,0.118,0.134,0.792,0.135,0.077,0.136,34,['h'],['h']
1,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-26-0835-57S.MVO_21_2.mseed,h,['h'],0.027,0.076,0.041,0.081,0.16,0.128,0.761,0.129,0.032,0.093,34,['h'],['h']
2,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-02-2344-43S.MVO_18_1.mseed,e,['e' 'r'],0.483,0.409,0.772,0.128,0.076,0.113,0.039,0.072,0.016,0.055,34,['e'],['e' 'r']
3,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-25-1044-51S.MVO_21_1.mseed,h,['h'],0.047,0.103,0.038,0.097,0.053,0.096,0.82,0.144,0.062,0.12,34,['h'],['h']
4,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-25-0720-42S.MVO_21_1.mseed,h,['h'],0.024,0.069,0.01,0.026,0.066,0.099,0.886,0.113,0.019,0.03,34,['h'],['h']
5,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1996/10/9610-30-0818-01S.MVO_21_1.mseed,r,['r'],0.819,0.153,0.179,0.121,0.052,0.077,0.033,0.09,0.006,0.014,34,['r'],['r']
6,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2001/08/2001-08-06-0435-32S.MVO___018.mseed,l,['l'],0.058,0.094,0.018,0.018,0.813,0.109,0.072,0.087,0.048,0.102,10,['r'],['l']
7,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-05-0302-25S.MVO_18_1.mseed,t,['t'],0.027,0.071,0.02,0.063,0.058,0.103,0.142,0.132,0.763,0.14,34,['t'],['t']
8,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-20-2347-28S.MVO_18_1.mseed,l,['l'],0.054,0.113,0.038,0.094,0.789,0.145,0.127,0.123,0.012,0.026,34,['l'],['l']
9,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1998/04/9804-01-0951-19S.MVO_18_1.mseed,t,['t'],0.0,0.0,0.01,,0.0,0.0,0.255,0.049,0.74,0.057,2,['h'],['t']
10,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/2001/08/2001-08-08-1344-24S.MVO___018.mseed,r,['r'],0.79,0.178,0.068,0.05,0.05,0.106,0.064,0.09,0.062,0.135,10,['e'],['r']
11,/home/thompsong/DATA/MVO/miniseed_c/MVOE_/1997/04/9704-11-1840-27S.MVO_18_1.mseed,e,['e' 'r'],0.507,0.413,0.762,0.131,0.027,0.058,0.073,0.102,0.012,0.025,32,['e'],['e' 'r']
