,Eseismic,Fs,R,bandratio_[0.8_4.0_16.0],bandratio_[1.0_6.0_11.0],bw_max,bw_min,calib,elev,energy,filetime,id,kurtosis,lat,lon,magA,magE,medianF,noise_level,num_gaps,peakA,peakF,peakamp,peaktime,percent_availability,quality,sample_lower_quartile,sample_max,sample_mean,sample_median,sample_min,sample_rms,sample_stdev,sample_upper_quartile,signal_level,skewness,snr,starttime,units
0,45423.0025833,75.0,1594.57768227,0.0235153603622,-1.94260555204,5.3,1.9,808880064.012,478.0,5.68636330234e-10,1996-10-23T22:35:49.040000Z,MV.MBGA..BHZ,7.37,16.7030555556,-62.1880555556,0.559824614522,-0.595149440752,6.2,5.61808745378e-06,0,8.1581690486e-07,3.7,1.93015205824e-05,34.75,100.0,5.55,-6.07373446847e-07,1.93015205824e-05,-2.67086824847e-10,-8.31360777642e-09,-1.77430039535e-05,2.61744916346e-06,2.61744914983e-06,6.13384998103e-07,1.93015205824e-05,-0.17,3.43560343999,1996-10-23T22:35:49.040000Z,m/s
1,226737.101453,75.0,1594.57768227,-1.3201790393,-2.88979878994,3.8,1.6,808880064.012,478.0,2.83845069603e-09,1996-10-23T22:35:49.040000Z,MV.MBGA..BHN,8.26,16.7030555556,-62.1880555556,0.882815431633,-0.129651606379,4.6,1.28660563559e-05,0,2.11646580679e-06,2.6,4.06052642735e-05,36.48,100.0,5.64,-1.30386264675e-06,3.37729750295e-05,1.21397600078e-09,-7.65660804194e-09,-4.06052642735e-05,5.84792280703e-06,5.84792268102e-06,1.18374064788e-06,4.06052642735e-05,-0.14,3.15599925497,1996-10-23T22:35:49.040000Z,m/s
2,306990.545001,75.0,1594.57768227,-1.55172226283,-2.91614407594,3.6,1.7,808880064.012,478.0,3.84311839812e-09,1996-10-23T22:35:49.040000Z,MV.MBGA..BHE,12.28,16.7030555556,-62.1880555556,1.03233782007,-0.0419166667656,4.4,1.91504602413e-05,0,2.44876808954e-06,2.6,5.72934177009e-05,30.79,100.0,5.65,-1.19353692022e-06,5.72934177009e-05,3.89936446164e-09,1.13252077765e-08,-4.53460643978e-05,6.80460368447e-06,6.80460256721e-06,1.22788410538e-06,5.72934177009e-05,-0.06,2.99175147641,1996-10-23T22:35:49.040000Z,m/s
3,822499.682204,75.0,2514.40381213,-0.150552027593,-2.1091519312,4.8,2.4,461997556.108,287.0,4.14110090753e-09,1996-10-23T22:35:49.040000Z,MV.MBLG..SHZ,7.14,16.7166666667,-62.1597222222,1.24278414162,0.24342382588,5.6,1.87845447758e-05,0,2.33193204371e-06,3.5,4.48836429917e-05,33.93,100.0,5.57,-1.31394578284e-06,4.48836429917e-05,3.08199834124e-08,4.05101563197e-08,-4.38631674348e-05,7.06348228697e-06,7.06341504847e-06,1.39607569741e-06,4.48836429917e-05,-0.05,2.38939210545,1996-10-23T22:35:49.040000Z,m/s
4,,75.0,2514.40381213,1.17433085987,-0.998021992341,5.8,2.7,27500000.0,287.0,2.188864844e-06,1996-10-23T22:35:49.040000Z,MV.MBLG..SNZ,6.61,16.7166666667,-62.1597222222,,,8.6,0.000401159904479,0,4.75120929915e-05,3.8,0.00127930719412,33.97,100.0,5.63,-3.63835851603e-05,0.000918214635353,5.65517987141e-09,-6.88534029863e-07,-0.00127930719412,0.000162394167353,0.000162394167255,3.62244866756e-05,0.00127930719412,-0.24,3.18902058715,1996-10-23T22:35:49.040000Z,m/s2
5,,75.0,1196.62050322,0.482322894772,-1.55383960366,5.0,2.4,27500000.0,355.0,3.32061207897e-07,1996-10-23T22:35:49.040000Z,MV.MBRY..SNZ,5.22,16.7094444444,-62.175,,,7.8,0.000153920067426,0,2.10533408368e-05,3.5,0.000347257102027,33.0,100.0,5.51,-1.59004936006e-05,0.000322519350354,-9.05269056793e-10,1.3421594789e-07,-0.000347257102027,6.32513829457e-05,6.32513829392e-05,1.66853039557e-05,0.000347257102027,-0.0,2.25608725252,1996-10-23T22:35:49.040000Z,m/s2
6,77976.869218,75.0,3652.32597167,-0.53075245233,-2.12862924561,4.2,1.5,808880064.012,183.0,1.86070214551e-10,1996-10-23T22:35:49.040000Z,MV.MBGE..BHZ,4.79,16.6844444444,-62.19,0.813605623464,-0.438689470521,5.1,3.16133186921e-06,0,5.2968533744e-07,2.8,9.19378562589e-06,39.6,100.0,5.49,-4.4175869627e-07,9.19378562589e-06,-8.30691764632e-10,-1.19777761095e-08,-7.24546882013e-06,1.49726744901e-06,1.49726721858e-06,3.90151486521e-07,9.19378562589e-06,0.19,2.90820008979,1996-10-23T22:35:49.040000Z,m/s
7,351373.499927,75.0,3652.32597167,-1.50920455459,-3.2169176199,4.0,1.7,808880064.012,183.0,8.38455598112e-10,1996-10-23T22:35:49.040000Z,MV.MBGE..BHN,6.13,16.6844444444,-62.19,1.2248348185,-0.00282066363799,3.9,7.38580945339e-06,0,1.20046153127e-06,2.9,2.36986478713e-05,34.49,100.0,5.6,-7.41438339336e-07,1.68289904878e-05,-7.19692130358e-09,-6.56754968397e-09,-2.36986478713e-05,3.178344644e-06,3.17833649577e-06,7.53386542217e-07,2.36986478713e-05,-0.21,3.20867306703,1996-10-23T22:35:49.040000Z,m/s
8,357101.520755,75.0,3652.32597167,-1.37635193321,-3.30257699501,4.1,1.5,808880064.012,183.0,8.52123934312e-10,1996-10-23T22:35:49.040000Z,MV.MBGE..BHE,5.28,16.6844444444,-62.19,1.07796556173,0.00186113312402,3.9,8.27098748305e-06,0,1.16908728931e-06,2.6,1.68987395009e-05,36.83,100.0,5.61,-7.80036767832e-07,1.65837492651e-05,2.56536689783e-09,3.09670611928e-08,-1.68987395009e-05,3.20414628652e-06,3.20414525956e-06,8.90140060198e-07,1.68987395009e-05,-0.08,2.04313445469,1996-10-23T22:35:49.040000Z,m/s
9,68421.8417248,75.0,2847.29728971,-0.293747890094,-2.82085996457,4.3,2.0,808880064.012,350.0,2.68645306778e-10,1996-10-23T22:35:49.040000Z,MV.MBGH..BHZ,4.19,16.7316666667,-62.205,0.676100841074,-0.476536826667,7.0,4.80010328837e-06,0,6.75493187354e-07,3.1,9.97719217706e-06,38.16,100.0,5.52,-6.14942117196e-07,9.96341663126e-06,-6.34671801743e-09,-6.43658675773e-09,-9.97719217706e-06,1.79908044376e-06,1.79906924888e-06,5.89951631009e-07,9.97719217706e-06,0.1,2.07853697674,1996-10-23T22:35:49.040000Z,m/s
