id,starttime,Fs,calib,units,quality,medianF,peakF,peakA,bw_min,bw_max,snr,signal_level,noise_level,peakamp,peaktime,energy,sample_min,sample_max,sample_mean,sample_median,sample_lower_quartile,sample_upper_quartile,sample_rms,sample_stdev,percent_availability,num_gaps,skewness,kurtosis,bandratio_[1.0_6.0_11.0],bandratio_[0.8_4.0_16.0],lon,lat,elev
MV.MBGA..BHZ,1997-03-04T05:56:28.040000Z,75.0,1.0,Counts,5.75,6.4,3.7,1069.25222201,2.8,4.3,3.03944216897,27808.8947067,9149.34160964,27808.8947067,42.59,1844759986.49,-26276.5336196,27808.8947067,-0.285061334522,-16.7955312631,-1006.04485007,958.161927724,3904.60629277,3904.60628237,100.0,0,0.14,6.85,-1.86283081277,-0.133493114813,-62.1880555556,16.7030555556,478.0
MV.MBGA..BHN,1997-03-04T05:56:28.040000Z,75.0,1.0,Counts,5.82,5.0,2.1,1934.92511747,1.5,4.0,3.02418343175,54963.2328846,18174.5698054,54963.2328846,42.85,6887995736.16,-54963.2328846,41538.8728439,-0.63725481572,8.25821894363,-1570.66452253,1595.76880308,7544.90454521,7544.9045183,100.0,0,-0.08,6.26,-2.77551192506,-1.26627024146,-62.1880555556,16.7030555556,478.0
MV.MBGA..BHE,1997-03-04T05:56:28.040000Z,75.0,1.0,Counts,5.83,4.8,2.3,2257.54678629,1.8,3.6,2.55037582653,44137.2234303,17306.1644371,44137.2234303,42.25,6783117164.57,-44137.2234303,43834.0692584,0.555349739114,13.6761362437,-1863.20045243,1709.20472377,7487.24378806,7487.24376747,100.0,0,-0.09,5.75,-2.68463769399,-1.33155043015,-62.1880555556,16.7030555556,478.0
MV.MBLG..SHZ,1997-03-04T05:56:28.040000Z,75.0,1.0,Counts,5.8,5.8,3.5,2241.43760343,2.8,4.2,2.55612936898,45743.0029711,17895.4177853,45743.0029711,51.21,7081022426.42,-45743.0029711,45261.6476995,-0.376291252087,14.6272099433,-1567.44804579,1540.74842156,7649.8919273,7649.89191804,100.0,0,0.0,6.76,-2.40782173266,-0.459654797383,-62.1597222222,16.7166666667,287.0
MV.MBRY..SHZ,1997-03-04T05:56:28.040000Z,75.0,1.0,Counts,5.67,6.0,3.3,811.512568844,2.7,4.2,2.26767545012,14780.1711537,6517.76300394,14780.1711537,50.48,888205660.752,-14780.1711537,14486.5272991,-0.372236561204,-5.45580850366,-642.857211435,630.490482089,2709.34358302,2709.34355745,100.0,0,-0.04,6.02,-2.55960219774,-0.735763189023,-62.175,16.7094444444,355.0
MV.MBGE..BHZ,1997-03-04T05:56:28.040000Z,75.0,1.0,Counts,5.67,5.7,3.7,512.146188979,2.5,4.3,2.74052917292,12691.1865199,4630.92553269,12691.1865199,44.64,471264082.686,-11176.1768678,12691.1865199,0.625813203175,5.0656186221,-613.435379461,610.551380712,1973.5107005,1973.51060128,100.0,0,0.22,5.46,-1.65806570905,-0.15784620687,-62.19,16.6844444444,183.0
MV.MBGE..BHN,1997-03-04T05:56:28.040000Z,75.0,1.0,Counts,5.79,4.2,3.1,1326.0084161,2.0,3.8,2.59196503717,26437.420315,10199.7596171,26437.420315,48.83,2476428955.77,-23503.1810781,26437.420315,-0.231392893675,11.6655215142,-1218.61639732,1154.66891571,4523.97557535,4523.97556944,100.0,0,0.08,5.16,-2.93028087725,-1.31688928546,-62.19,16.6844444444,183.0
MV.MBGE..BHE,1997-03-04T05:56:28.040000Z,75.0,1.0,Counts,5.79,4.3,3.1,1327.58444439,2.4,4.0,3.10026079213,29051.5869777,9370.69134683,29051.5869777,44.48,2581979330.91,-25208.1974787,29051.5869777,0.470908687062,-29.9151767684,-1264.09804572,1260.18748201,4619.3800619,4619.3800379,100.0,0,-0.08,6.5,-3.12305933624,-1.23708922473,-62.19,16.6844444444,183.0
MV.MBGH..BHZ,1997-03-04T05:56:28.040000Z,75.0,1.0,Counts,5.7,5.1,3.0,892.94688228,2.5,3.5,2.93830850466,16935.5071009,5763.6926395,16935.5071009,48.57,894559547.217,-16935.5071009,13585.4254449,-0.202652043198,-2.68627546612,-698.837854984,699.699937513,2719.01712191,2719.01711436,100.0,0,-0.11,5.6,-3.203136805,-0.997436179433,-62.205,16.7316666667,350.0
MV.MBGH..BHN,1997-03-04T05:56:28.040000Z,75.0,1.0,Counts,5.79,3.9,2.2,1484.13944049,1.5,3.8,2.90545805589,33272.9903045,11451.8914624,33272.9903045,48.93,3650339652.69,-31054.551962,33272.9903045,0.914027108239,-10.536323473,-1342.03416448,1302.58898427,5492.54916257,5492.54908652,100.0,0,0.02,6.23,-3.73134562723,-2.2200109036,-62.205,16.7316666667,350.0
