id,starttime,Fs,calib,units,quality,medianF,peakF,peakA,bw_min,bw_max,snr,signal_level,noise_level,peakamp,peaktime,energy,sample_min,sample_max,sample_mean,sample_median,sample_lower_quartile,sample_upper_quartile,sample_rms,sample_stdev,percent_availability,num_gaps,skewness,kurtosis,bandratio_[1.0_6.0_11.0],bandratio_[0.8_4.0_16.0],lon,lat,elev
MV.MBGA..BHZ,1997-03-04T05:56:28.040000Z,75.0,808880064.012,m/s,5.75,6.4,3.7,1.32338750758e-06,2.8,4.3,2.84640420847,3.45104531756e-05,1.21242278496e-05,3.45104531756e-05,42.59,2.82914002773e-09,-3.27393858163e-05,3.45104531756e-05,-2.25598709935e-09,-1.24077825266e-08,-1.2378788198e-06,1.18798010835e-06,4.8354237191e-06,4.83542319283e-06,100.0,0,0.13,6.85,-1.85278453552,-0.121443288176,-62.1880555556,16.7030555556,478.0
MV.MBGA..BHN,1997-03-04T05:56:28.040000Z,75.0,808880064.012,m/s,5.82,5.0,2.1,2.39211952546e-06,1.5,4.0,2.88127119303,6.84260665314e-05,2.37485685822e-05,6.84260665314e-05,42.85,1.05438248333e-08,-6.84260665314e-05,5.13891699323e-05,-7.5085131164e-09,1.07432821452e-08,-1.96560276165e-06,1.97640146594e-06,9.33482984361e-06,9.33482682385e-06,100.0,0,-0.09,6.26,-2.76501642519,-1.25475288151,-62.1880555556,16.7030555556,478.0
MV.MBGA..BHE,1997-03-04T05:56:28.040000Z,75.0,808880064.012,m/s,5.83,4.9,2.3,2.79147559578e-06,1.8,3.6,2.39333542977,5.43585430235e-05,2.27124632625e-05,5.43585430235e-05,42.24,1.03816587382e-08,-5.43585430235e-05,5.42761666752e-05,-2.02202438832e-10,1.53138357273e-08,-2.31174404324e-06,2.09974097464e-06,9.26276592314e-06,9.26276592093e-06,100.0,0,-0.08,5.74,-2.67419402561,-1.32057448526,-62.1880555556,16.7030555556,478.0
MV.MBLG..SHZ,1997-03-04T05:56:28.040000Z,75.0,461997556.108,m/s,5.8,5.7,3.5,4.86904324457e-06,2.8,4.2,2.48754677926,9.87166610879e-05,3.96843435914e-05,9.87166610879e-05,51.25,3.36383079091e-08,-9.87166610879e-05,9.25730892709e-05,3.22190818811e-09,1.89771582063e-08,-3.36862495058e-06,3.52749034483e-06,1.6673408311e-05,1.66734079997e-05,100.0,0,0.01,6.72,-2.41466227887,-0.481321057398,-62.1597222222,16.7166666667,287.0
MV.MBRY..SHZ,1997-03-04T05:56:28.040000Z,75.0,461997556.108,m/s,5.67,5.8,3.3,1.76487644737e-06,2.7,4.2,2.30523617593,3.42033529672e-05,1.48372445844e-05,3.42033529672e-05,38.31,4.23920596965e-09,-3.42033529672e-05,2.9630890466e-05,-2.69111945685e-08,-5.33956746104e-08,-1.49197733316e-06,1.39498516614e-06,5.91901681698e-06,5.91895563992e-06,100.0,0,-0.01,5.94,-2.56732532943,-0.764073546551,-62.175,16.7094444444,355.0
MV.MBGE..BHZ,1997-03-04T05:56:28.040000Z,75.0,808880064.012,m/s,5.67,5.7,3.7,6.33828888577e-07,2.5,4.3,2.69028061382,1.58501647192e-05,5.89163994185e-06,1.58501647192e-05,44.64,7.22726143433e-10,-1.36436767905e-05,1.58501647192e-05,1.19031371131e-09,8.04524212419e-09,-7.62760207037e-07,7.64843058445e-07,2.44396058359e-06,2.44396029373e-06,100.0,0,0.22,5.45,-1.64783276391,-0.145732839748,-62.19,16.6844444444,183.0
MV.MBGE..BHN,1997-03-04T05:56:28.040000Z,75.0,808880064.012,m/s,5.79,4.2,3.1,1.64043463102e-06,2.0,3.8,2.53087212908,3.23690014534e-05,1.27896629314e-05,3.23690014534e-05,48.81,3.79114790274e-09,-2.93020664413e-05,3.23690014534e-05,9.91487105522e-09,1.08682567164e-08,-1.49179814295e-06,1.4551287503e-06,5.59748165241e-06,5.59747287126e-06,100.0,0,0.07,5.16,-2.92026167874,-1.30700401863,-62.19,16.6844444444,183.0
MV.MBGE..BHE,1997-03-04T05:56:28.040000Z,75.0,808880064.012,m/s,5.79,4.3,3.1,1.64233427142e-06,2.4,4.0,3.35983862293,3.61064190814e-05,1.07464742012e-05,3.61064190814e-05,44.48,3.953172614e-09,-3.13088970765e-05,3.61064190814e-05,5.88365458775e-09,-2.62576112732e-08,-1.54283399974e-06,1.56884695504e-06,5.7158418496e-06,5.7158388214e-06,100.0,0,-0.08,6.49,-3.1130325425,-1.22736005418,-62.19,16.6844444444,183.0
MV.MBGH..BHZ,1997-03-04T05:56:28.040000Z,75.0,808880064.012,m/s,5.7,5.2,3.0,1.10456370691e-06,2.5,3.5,2.82448709009,2.08260878293e-05,7.37340521129e-06,2.08260878293e-05,48.56,1.36976428354e-09,-2.08260878293e-05,1.67799042973e-05,1.3777073485e-09,-5.97889411678e-09,-8.56506137105e-07,8.80302036108e-07,3.36457515589e-06,3.36457487383e-06,100.0,0,-0.11,5.59,-3.19366115203,-0.986239296284,-62.205,16.7316666667,350.0
MV.MBGH..BHN,1997-03-04T05:56:28.040000Z,75.0,808880064.012,m/s,5.79,4.0,2.2,1.83494706603e-06,1.5,3.8,3.13267476854,4.08402387923e-05,1.30368588538e-05,4.08402387923e-05,48.93,5.58468598289e-09,-3.84607174084e-05,4.08402387923e-05,8.44293496103e-09,-3.56343641856e-09,-1.65086278367e-06,1.62406291896e-06,6.79370514599e-06,6.79369989973e-06,100.0,0,0.01,6.23,-3.72102951406,-2.2088262449,-62.205,16.7316666667,350.0
MV.MBGH..BHE,1997-03-04T05:56:28.040000Z,75.0,808880064.012,m/s,5.82,3.9,3.0,2.46948463448e-06,2.2,3.7,2.40163023614,4.28977334281e-05,1.78619226151e-05,4.28977334281e-05,54.77,7.19129916783e-09,-3.91228065988e-05,4.28977334281e-05,-2.18276015641e-09,-4.46448969282e-08,-1.97141738898e-06,1.84856285999e-06,7.70922982713e-06,7.70922951812e-06,100.0,0,0.03,5.21,-3.90954778289,-2.29012913686,-62.205,16.7316666667,350.0
MV.MBWH..SHZ,1997-03-04T05:56:28.040000Z,75.0,461997556.108,m/s,5.46,5.6,2.0,5.1035595475e-07,1.4,3.8,3.63228431356,1.44865656416e-05,3.98827965849e-06,1.44865656416e-05,44.73,4.70538408599e-10,-1.11372161859e-05,1.44865656416e-05,-2.5669280333e-09,1.02080071334e-09,-4.94560119431e-07,5.33321643815e-07,1.9719906639e-06,1.97198899322e-06,100.0,0,0.03,6.17,-2.15598755209,-0.846385494604,-62.1988888889,16.7419444444,407.0
