class	year	month	day	hour	minute	second	length	path	f0	f1
background	2018	10	08	8	15	0.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	1	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	1.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
chord	2018	10	08	8	15	2	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
chord	2018	10	08	8	15	2.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
chord	2018	10	08	8	15	3	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	3.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	4	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	4.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	5.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
chord	2018	10	08	8	15	6	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
chord	2018	10	08	8	15	6.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
chord	2018	10	08	8	15	7	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	7.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	8	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	8.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	9	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	9.5	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
background	2018	10	08	8	15	10	0.5	../EXAMPLE/data/raw/example_train_data/2018-10-08__8-15-0.WAV	None	None
