,Fs,Unnamed: 0,bandratio_[0.8_4.0_16.0],bandratio_[1.0_6.0_11.0],bw_max,bw_min,calib,energy,filetime,id,kurtosis,medianF,noise_level,num_gaps,peakA,peakF,peakamp,peaktime,percent_availability,quality,sample_lower_quartile,sample_max,sample_mean,sample_median,sample_min,sample_rms,sample_stdev,sample_upper_quartile,signal_level,skewness,snr,starttime,units
0,75.19,0,-0.5231784877,-2.23225177221,4.4,2.2,1.0,182952385.411,1901-03-06T21:13:28.040000Z,MV.MBRY..SHZ,4.36,5.1,3892.32062957,0,583.511400571,3.2,7739.38423455,36.61,100.0,5.52,-429.927155049,7739.38423455,0.277977118405,6.93141039843,-7314.39940948,1477.674592,1477.67456586,440.789694589,7739.38423455,0.01,1.98837273984,1901-03-06T21:13:28.040000Z,Counts
1,75.19,1,-1.13399058703,-2.69153036825,4.0,1.4,1.0,1107081562.49,1901-03-06T21:13:28.040000Z,MV.MBRY..SHN,4.5,4.1,9314.4868876,0,1357.42100501,2.5,20795.8812603,31.96,100.0,5.64,-1056.05025372,19492.7678722,-0.126511203376,17.7011148307,-20795.8812603,3634.95950248,3634.95950027,1058.47272806,20795.8812603,-0.01,2.23263841704,1901-03-06T21:13:28.040000Z,Counts
2,75.19,2,-0.976784346202,-2.69129151062,4.5,1.8,1.0,830943869.787,1901-03-06T21:13:28.040000Z,MV.MBRY..SHE,5.94,4.5,6486.94287216,0,1169.07224346,3.1,19824.6971204,31.84,100.0,5.62,-919.512944587,19824.6971204,-0.742526483698,-12.2529538898,-15653.6240441,3149.16641954,3149.166332,938.669702381,19824.6971204,0.16,3.05609244771,1901-03-06T21:13:28.040000Z,Counts
3,75.19,3,0.230361667036,-1.44484699499,5.3,1.7,1.0,36561177.7107,1901-03-06T21:13:28.040000Z,MV.MBSS..SHZ,3.72,5.8,1256.62029863,0,212.911543303,3.2,3461.59824589,24.98,100.0,5.34,-219.059187582,3461.59824589,0.194814700371,5.3948372679,-2968.6152957,660.571536093,660.571507366,217.870254634,3461.59824589,0.06,2.75468910512,1901-03-06T21:13:28.040000Z,Counts
4,75.19,4,0.464651593125,-0.856915384776,2.0,0.0,1.0,2752819.10133,1901-03-06T21:13:28.040000Z,MV.MBBY..SHZ,0.17,11.2,359.905413436,0,83.6633412702,1.0,773.162505422,25.12,100.0,4.95,-124.623360019,773.162505422,0.0366399859415,-1.23430505895,-605.453325349,181.258592891,181.258589187,120.760013949,773.162505422,0.13,2.14823805521,1901-03-06T21:13:28.040000Z,Counts
5,75.19,5,-0.754458177589,-2.64356627216,4.7,1.9,1.0,266751061.357,1901-03-06T21:13:28.040000Z,MV.MBBY..SHN,4.73,5.4,3623.86338107,0,668.731904513,3.2,11570.1136836,29.76,100.0,5.55,-564.819141062,9513.33299948,-0.579191125261,7.25937069151,-11570.1136836,1784.27933536,1784.27924135,598.313254526,11570.1136836,-0.18,3.19275658792,1901-03-06T21:13:28.040000Z,Counts
6,75.19,6,-0.749866792584,-2.84811741093,4.7,2.1,1.0,347575570.986,1901-03-06T21:13:28.040000Z,MV.MBBY..SHE,4.01,5.0,4576.47610141,0,758.279621224,3.4,11706.7199321,38.41,100.0,5.56,-593.114690627,11706.7199321,0.541319177944,-10.0221021807,-9473.26094612,2036.73436028,2036.73428835,555.412804148,11706.7199321,0.2,2.55802055396,1901-03-06T21:13:28.040000Z,Counts
7,75.19,7,-0.437111158193,-2.47019885049,4.7,2.3,1.0,82121098.8874,1901-03-06T21:13:28.040000Z,MV.MBGH..SHZ,3.72,5.3,2182.15591186,0,384.788192818,3.4,5566.27398446,37.41,100.0,5.45,-332.995681332,5566.27398446,0.0785996669459,-1.41755659274,-5148.1943976,990.00444326,990.004440139,334.465341931,5566.27398446,-0.09,2.55081406155,1901-03-06T21:13:28.040000Z,Counts
8,75.19,8,-1.72482700709,-3.33858340768,4.1,1.6,1.0,513877083.566,1901-03-06T21:13:28.040000Z,MV.MBGH..SHN,5.02,4.1,5470.74385834,0,977.921964542,2.8,13915.8950852,28.97,100.0,5.6,-752.524526309,13915.8950852,-0.0238953071964,-5.27566935851,-13418.0765435,2476.50604854,2476.50604843,741.982358174,13915.8950852,0.18,2.54369340725,1901-03-06T21:13:28.040000Z,Counts
9,75.19,9,-1.3364750597,-3.19158022948,4.3,1.9,1.0,425768838.273,1901-03-06T21:13:28.040000Z,MV.MBGH..SHE,3.79,4.3,5291.46730777,0,907.178136501,3.1,10862.8803429,40.74,100.0,5.59,-709.797004756,10862.8803429,0.328766916209,14.6976581283,-10194.1849704,2254.22210388,2254.2220799,753.933316339,10862.8803429,-0.09,2.05290512273,1901-03-06T21:13:28.040000Z,Counts
10,75.19,10,-0.784458736654,-2.4568647973,3.9,1.2,1.0,4338415.98334,1901-03-06T21:13:28.040000Z,MV.MBWH..SHZ,3.67,4.5,550.009015126,0,84.7324076443,2.3,1317.19476005,33.93,100.0,5.06,-85.920303832,1058.19333579,0.159396867432,3.72198253159,-1317.19476005,227.549226416,227.549170588,84.6838609859,1317.19476005,-0.05,2.39486030924,1901-03-06T21:13:28.040000Z,Counts
