,path,ASN_exists,ASN_wavfile,D,DSN_exists,DSN_wavfile,Eseismic,Fs,R,bandratio_[0.8_4.0_16.0],bandratio_[1.0_6.0_11.0],bw_max,bw_min,calib,checked,corrected_ASN_mseed,corrected_DSN_mseed,day,delete,e,elev,energy,filetime,h,hour,ignore,index,kurtosis,l,lat,level_0,lon,magA,magE,medianF,minute,month,class,noise_level,num_gaps,num_traces,peakA,peakF,peakamp,peaktime,percent_availability,quality,r,sample_lower_quartile,sample_max,sample_mean,sample_median,sample_min,sample_rms,sample_stdev,sample_upper_quartile,second,sfile,signal_level,skewness,snr,split,subclass,t,length,weight,year,f0,f1
0,miniseed_c/MVOE_/1998/01/9801-24-2342-02S.MVO_18_1.mseed,False,,0.0,True,9801-24-2342-02S.MVO_18_1,15783635.3671,75.0,0.0,0.653605918455,-0.852078657271,2.9,0.3,635438810.06,True,,miniseed_c/MVOE_/1998/01/9801-24-2342-02S.MVO_18_1.mseed,24.0,False,0.0,442.5,1.97534747611e-07,1998-01-24T23:42:02.040000Z,0.0,23.0,False,1679,586.35,0.0,16.7225,175338,-62.1934722223,1.60502198306,0.155473265253,10.4,42.0,1.0,r,6.83817408194e-06,0.0,2.0,1.05869549264e-06,1.5,0.00168414721939,43.365,100.0,3.62,50.0,-1.72524449605e-07,0.00168341327337,9.39814154172e-09,1.86613874202e-08,-0.00111230264877,3.76462876835e-05,3.76462847273e-05,2.06205061383e-07,2.04,24-2342-02L.S199801,0.00168414721939,7.6,137.264608286,False,r,0.0,,3.0,1998.0,,
1,miniseed_c/MVOE_/2000/01/2000-01-01-0051-06S.MVO___019.mseed,False,,0.0,True,2000-01-01-0051-06S.MVO___019,31682.4112533,75.0,0.0,-0.614140235699,-2.06609786655,3.45,0.8,808880064.012,True,,miniseed_c/MVOE_/2000/01/2000-01-01-0051-06S.MVO___019.mseed,1.0,False,0.0,321.0,1.43260627101e-10,2000-01-01T00:51:06.040000Z,0.0,0.0,False,0,1.59,0.0,16.7130555555,0,-62.175,0.549565422235,-0.699455441786,5.45,51.0,1.0,r,4.09353740352e-06,0.0,8.0,7.09745385742e-07,2.15,8.05049556341e-06,12.155,100.0,12.5,100.0,-1.01711936041e-06,7.10113188127e-06,-2.06161603198e-08,-2.86018510758e-08,-7.66866099963e-06,1.76448197529e-06,1.76408721385e-06,1.00386027908e-06,6.04,01-0051-06L.S200001,8.05049556341e-06,0.0,2.08385470361,False,r,0.0,,7.0,2000.0,,
2,miniseed_c/MVOE_/2000/01/2000-01-01-0947-28S.MVO___019.mseed,False,,0.0,True,2000-01-01-0947-28S.MVO___019,66160.7270753,75.0,0.0,-0.204194555768,-1.88925841749,4.8,1.6,808880064.012,True,,miniseed_c/MVOE_/2000/01/2000-01-01-0947-28S.MVO___019.mseed,1.0,False,0.0,287.0,2.07573471294e-10,2000-01-01T09:47:28.040000Z,0.0,9.0,False,1,1.5,0.0,16.7166666667,1,-62.175,0.833580304517,-0.486266487158,5.6,47.0,1.0,r,4.0916748908e-06,0.0,7.0,7.15901917154e-07,3.1,1.11616289473e-05,21.88,100.0,15.57,100.0,-1.10795791848e-06,8.05884139665e-06,-7.64299195764e-09,2.11150725274e-09,-1.09353606808e-05,1.94269480733e-06,1.94267977266e-06,1.07388589858e-06,28.04,01-0947-28L.S200001,1.11616289473e-05,0.16,2.23354393017,False,r,0.0,,7.0,2000.0,,
3,miniseed_c/MVOE_/2000/01/2000-01-01-1207-45S.MVO___019.mseed,False,,0.0,True,2000-01-01-1207-45S.MVO___019,11001.807985,75.0,0.0,0.911188325323,-0.413939028016,3.6,0.0,808880064.012,True,,miniseed_c/MVOE_/2000/01/2000-01-01-1207-45S.MVO___019.mseed,1.0,False,0.0,253.0,3.95733758922e-11,2000-01-01T12:07:45.040000Z,0.0,12.0,False,2,5.44,0.0,16.7094444444,2,-62.2147222222,0.692837474659,-1.00592013352,9.25,7.0,1.0,r,2.20860821482e-06,0.0,10.0,3.65180134636e-07,0.8,6.78526594779e-06,13.83,100.0,12.92,100.0,-5.14368935635e-07,6.55823130201e-06,-9.21363795916e-09,-4.293040929e-09,-6.03784575628e-06,1.1119997231e-06,1.11177973455e-06,5.07054771539e-07,45.04,01-1207-45L.S200001,6.78526594779e-06,0.015,3.38975307062,False,r,0.0,,4.0,2000.0,,
4,miniseed_c/MVOE_/2000/01/2000-01-01-1352-43S.MVO___019.mseed,False,,0.0,True,2000-01-01-1352-43S.MVO___019,29798.0397932,75.0,0.0,-0.736051707239,-2.10183754977,3.8,0.55,808880064.012,True,,miniseed_c/MVOE_/2000/01/2000-01-01-1352-43S.MVO___019.mseed,1.0,False,0.0,270.0,5.37505077338e-11,2000-01-01T13:52:43.040000Z,0.0,13.0,False,3,1.535,0.0,16.7225,3,-62.2098611111,0.644566832194,-0.717305915073,6.3,52.0,1.0,r,2.57088220994e-06,0.0,10.0,5.42662337365e-07,2.2,5.36183507586e-06,15.115,100.0,11.1,100.0,-6.96341544578e-07,4.90728180006e-06,2.81312256196e-09,2.22832030381e-08,-5.29939240434e-06,1.21658472405e-06,1.21649604211e-06,7.35295279047e-07,43.04,01-1352-43L.S200001,5.36183507586e-06,0.06,2.03487335476,False,r,0.0,,3.0,2000.0,,
5,miniseed_c/MVOE_/2000/01/2000-01-01-1427-00S.MVO___019.mseed,False,,0.0,True,2000-01-01-1427-00S.MVO___019,59677.5306759,75.0,0.0,-1.13873047074,-2.57460225495,3.3,1.1,808880064.012,True,,miniseed_c/MVOE_/2000/01/2000-01-01-1427-00S.MVO___019.mseed,1.0,False,0.0,287.0,1.51375340409e-10,2000-01-01T14:27:00.040000Z,0.0,14.0,False,4,1.78,0.0,16.7166666667,4,-62.175,0.813800388746,-0.516126103539,5.3,27.0,1.0,r,4.15111894218e-06,0.0,7.0,7.66473431829e-07,2.1,7.45050203804e-06,14.96,100.0,13.57,100.0,-1.21216645158e-06,7.19354565775e-06,5.03105150442e-10,1.41273605619e-10,-7.45050203804e-06,2.05057810554e-06,2.05044919754e-06,1.21739184319e-06,0.04,01-1427-00L.S200001,7.45050203804e-06,0.03,2.0246129916,False,r,0.0,,3.0,2000.0,,
6,miniseed_c/MVOE_/2000/01/2000-01-01-1745-54S.MVO___019.mseed,False,,0.0,True,2000-01-01-1745-54S.MVO___019,13163.3035861,75.0,0.0,-0.451186649812,-1.85090298893,2.5,0.0,808880064.012,True,,miniseed_c/MVOE_/2000/01/2000-01-01-1745-54S.MVO___019.mseed,1.0,False,0.0,270.0,2.93337951145e-11,2000-01-01T17:45:54.040000Z,0.0,17.0,False,7,0.48,0.0,16.7225,7,-62.2098611111,0.339018222042,-0.969792156223,6.35,45.0,1.0,r,1.44614690945e-06,0.0,10.0,3.52477106604e-07,1.05,2.88474763256e-06,28.85,100.0,15.48,50.0,-4.5437128731e-07,2.64909425253e-06,-3.02494775379e-09,-3.19998843205e-09,-2.66842840568e-06,7.09931431096e-07,7.09771470837e-07,4.61859340345e-07,54.04,01-1745-54L.S200001,2.88474763256e-06,-0.005,2.23691664133,False,e,0.0,,3.0,2000.0,,
7,miniseed_c/MVOE_/2000/01/2000-01-01-2225-31S.MVO___019.mseed,False,,0.0,True,2000-01-01-2225-31S.MVO___019,14308.3522031,75.0,0.0,-0.420962512838,-1.87465580998,3.25,0.0,808880064.012,True,,miniseed_c/MVOE_/2000/01/2000-01-01-2225-31S.MVO___019.mseed,1.0,False,0.0,270.0,2.5374445265e-11,2000-01-01T22:25:31.040000Z,0.0,22.0,False,9,0.43,0.0,16.7225,9,-62.2098611111,0.433835755035,-0.93620820695,7.15,25.0,1.0,r,1.62129130358e-06,0.0,10.0,4.26153179148e-07,1.65,2.95626916723e-06,14.175,100.0,10.54,100.0,-5.31386072928e-07,2.8546076872e-06,1.07639813598e-09,-1.95074974646e-09,-2.83766961276e-06,8.28072273735e-07,8.28049683087e-07,5.54525680725e-07,31.04,01-2225-31L.S200001,2.95626916723e-06,0.05,1.82584953984,False,r,0.0,,5.0,2000.0,,
8,miniseed_c/MVOE_/2000/01/2000-01-02-1735-00S.MVO___019.mseed,False,,0.0,True,2000-01-02-1735-00S.MVO___019,12865.771935,75.0,0.0,-0.649035506341,-1.9584386908,3.55,0.4,808880064.012,True,,miniseed_c/MVOE_/2000/01/2000-01-02-1735-00S.MVO___019.mseed,2.0,False,0.0,270.0,2.37769897097e-11,2000-01-02T17:35:00.040000Z,0.0,17.0,False,13,0.55,0.0,16.7225,13,-62.2098611111,0.467494260137,-0.972173241244,6.0,35.0,1.0,r,2.07286125076e-06,0.0,10.0,4.19719747644e-07,1.85,3.47650613452e-06,13.58,100.0,10.34,100.0,-5.75927330422e-07,3.37570838781e-06,5.16781622691e-09,7.82276314662e-09,-3.20033991087e-06,9.56166960695e-07,9.56109901038e-07,5.57803145953e-07,0.04,02-1735-00L.S200001,3.47650613452e-06,0.03,1.78293121509,False,r,0.0,,1.0,2000.0,,
9,miniseed_c/MVOE_/2000/01/2000-01-03-1314-22S.MVO___019.mseed,False,,0.0,True,2000-01-03-1314-22S.MVO___019,6766.82189162,75.0,0.0,-0.931771527291,-1.93048323778,3.35,0.0,808880064.012,True,,miniseed_c/MVOE_/2000/01/2000-01-03-1314-22S.MVO___019.mseed,3.0,False,0.0,270.0,1.55537312083e-11,2000-01-03T13:14:22.040000Z,0.0,13.0,False,20,0.54,0.0,16.7225,20,-62.2098611111,0.24487732891,-1.15736394647,5.55,14.0,1.0,r,1.47245769332e-06,0.0,10.0,3.3983935675e-07,1.2,2.71773102095e-06,13.35,100.0,10.14,100.0,-4.6787136663e-07,2.67206774408e-06,6.96584824422e-09,2.37514138182e-09,-2.41385528418e-06,7.18337940525e-07,7.18200640903e-07,4.61107307075e-07,22.04,03-1314-22L.S200001,2.71773102095e-06,0.005,1.81880434248,False,r,0.0,,2.0,2000.0,,
