,Unnamed: 0,D,Fs,R,RSAM_high,RSAM_low,band_ratio,bw_max,bw_min,calib,cft_peak_wmean,cft_std_wmean,checked,coincidence_sum,day,delete,detection_quality,e,energy,filetime,h,hour,ignore,kurtosis,l,medianF,minute,month,class,num_gaps,num_traces,offtime,ontime,path,peakA,peakF,peakamp,peaktime,percent_availability,quality,r,sample_lower_quartile,sample_max,sample_mean,sample_median,sample_min,sample_rms,sample_stdev,sample_upper_quartile,second,sfile,skewness,split,starttime,subclass,t,trigger_duration,length,weight,year,f0,f1,predicted_class
0,0,0.0,75.19,0.0,213.148324897,727.946481427,-2.23286378658,4.7,1.7,1.0,,,True,,6.0,False,,0.0,36577833.1546,1901-03-06T21:13:28.040000Z,0.0,21.0,False,3.54207164427,0.0,5.82048383115,13.0,3.0,r,0.0,7.0,,,eventFiles/MVOE_/2001/03/2001-03-06-2113-28S.MVO___019.pickle,212.867663828,3.2308203125,3478.60635662,33.8209868334,100.0,12.5,100.0,-263.695758059,3478.60635662,0.00302728299394,-0.648343568656,-3376.99853792,660.721980637,660.721980634,256.68299064,28.0,06-2113-28L.S200103,0.00678773427739,False,-2171846791.96,r,0.0,,83.7877377311,7.0,1901.0,,,r
1,1,0.0,75.19,0.0,208.941838516,1122.69524632,-2.63446375986,3.3,1.7,1.0,,,True,,6.0,False,,0.0,322526783.495,1901-03-06T21:24:49.040000Z,0.0,21.0,False,5.04903656672,0.0,4.83012493543,24.0,3.0,r,0.0,7.0,,,eventFiles/MVOE_/2001/03/2001-03-06-2124-49S.MVO___019.pickle,545.769892389,2.56997070313,10107.9993528,45.7241654475,100.0,15.57,100.0,-391.20653963,10107.9993528,0.00174549632463,-0.34730956834,-9541.76495111,1746.5433553,1746.5433553,388.751310395,49.0,06-2124-49L.S200103,0.0101372605699,False,-2171846110.96,r,0.0,,105.732145232,7.0,1901.0,,,r
2,2,0.0,75.19,0.0,159.229486686,336.995532667,-1.28002802599,5.4,0.0,1.0,,,True,,6.0,False,,0.0,5946094.2277,1901-03-06T21:36:03.040000Z,0.0,21.0,False,2.19288820623,0.0,10.3742436892,36.0,3.0,r,0.0,7.0,,,eventFiles/MVOE_/2001/03/2001-03-06-2136-03S.MVO___019.pickle,153.405369041,3.52453125,1717.99227804,14.6296050007,100.0,12.92,100.0,-207.752763737,1591.44441466,2.52839588692e-05,0.0995447821318,-1717.99227804,326.265603524,326.265603452,215.892215581,3.0,06-2136-03L.S200103,0.0136872483905,False,-2171845436.96,r,0.0,,55.8584918207,4.0,1901.0,,,r
3,3,0.0,75.19,0.0,207.217429197,339.719121269,-1.11402613109,5.7,0.9,1.0,,,True,,6.0,False,,0.0,7337772.80887,1901-03-06T21:46:22.040000Z,0.0,21.0,False,1.30390859228,0.0,7.65750024272,46.0,3.0,r,0.0,7.0,,,eventFiles/MVOE_/2001/03/2001-03-06-2146-22S.MVO___019.pickle,154.878794643,3.96509765625,1373.50581851,28.3681340604,100.0,11.1,100.0,-218.161477542,1373.50581851,5.85204841767e-05,-0.985176131363,-1171.54788478,313.18496842,313.18496842,213.099148895,22.0,06-2146-22L.S200103,-0.0427077625963,False,-2171844817.96,r,0.0,,74.810480117,3.0,1901.0,,,r
4,4,0.0,75.19,0.0,129.10725396,416.317092484,-1.73557923899,4.3,2.0,1.0,,,True,,6.0,False,,0.0,30085255.1275,1901-03-06T21:59:11.040000Z,0.0,21.0,False,2.63375922651,0.0,6.53370305351,59.0,3.0,r,0.0,7.0,,,eventFiles/MVOE_/2001/03/2001-03-06-2159-11S.MVO___019.pickle,154.519216215,3.15739257813,2767.64635207,28.5277297513,100.0,13.57,100.0,-248.521395564,2767.64635207,-0.00328113905406,-0.314652821621,-2325.16154031,514.367872206,514.367872204,248.731821172,11.0,06-2159-11L.S200103,0.0482436454085,False,-2171844048.96,r,0.0,,113.711929778,3.0,1901.0,,,r
5,7,0.0,75.19,0.0,84.4747055064,171.282314666,-1.10368127809,5.8,0.8,1.0,,,True,,6.0,False,,0.0,12972396.2464,1901-03-06T22:10:54.040000Z,0.0,22.0,False,1.65030454754,0.0,8.59485609412,10.0,3.0,r,0.0,7.0,,,eventFiles/MVOE_/2001/03/2001-03-06-2210-54S.MVO___019.pickle,106.348898444,2.20283203125,1412.32883325,47.9319058385,100.0,15.48,50.0,-210.076331709,1287.61762836,-0.00230367151985,-1.26074428919,-1412.32883325,296.434437971,296.434420543,213.281910241,54.0,06-2210-54L.S200103,-0.0192327502274,False,-2171843345.96,e,0.0,,147.626014098,3.0,1901.0,,,r
6,9,0.0,75.19,0.0,112.965033103,162.393911509,-1.1428514037,5.0,0.0,1.0,,,True,,6.0,False,,0.0,5413337.34318,1901-03-06T22:29:23.040000Z,0.0,22.0,False,1.34241987378,0.0,7.79698266711,29.0,3.0,r,0.0,7.0,,,eventFiles/MVOE_/2001/03/2001-03-06-2229-23S.MVO___019.pickle,158.578603861,1.61541015625,854.003675743,21.6784146828,100.0,10.54,100.0,-207.442151147,854.003675743,-0.00038916587629,1.48676532707,-822.93396072,303.288505349,303.288505347,196.810124136,23.0,06-2229-23L.S200103,-0.0204951311316,False,-2171842236.96,r,0.0,,58.8509110254,5.0,1901.0,,,r
7,13,0.0,75.19,0.0,129.891950778,290.420894329,-1.36963852379,5.5,0.8,1.0,,,True,,6.0,False,,0.0,4836675.32304,1901-03-06T23:04:16.040000Z,0.0,23.0,False,1.06482649286,0.0,7.19150868443,4.0,3.0,r,0.0,7.0,,,eventFiles/MVOE_/2001/03/2001-03-06-2304-16S.MVO___019.pickle,151.353174803,3.96509765625,1188.93092904,19.7898656736,100.0,10.34,100.0,-238.252517894,1188.93092904,-0.000270353604431,-0.534206975517,-1118.18822522,328.258984268,328.258983815,231.22489205,16.0,06-2304-16L.S200103,-0.03251083518,False,-2171840143.96,r,0.0,,44.8862880702,1.0,1901.0,,,r
8,20,0.0,75.19,0.0,122.336573303,194.754703055,-1.14742055192,6.1,0.0,1.0,,,True,,6.0,False,,0.0,5445968.78569,1901-03-06T23:29:50.040000Z,0.0,23.0,False,0.568796857397,0.0,7.72693553663,29.0,3.0,r,0.0,7.0,,,eventFiles/MVOE_/2001/03/2001-03-06-2329-50S.MVO___019.pickle,146.262587825,1.4685546875,947.679622735,18.3003058917,100.0,10.14,100.0,-203.018233903,947.679622735,0.000895383168884,3.31512281633,-881.714866183,309.492092123,309.492092097,210.150678315,50.0,06-2329-50L.S200103,0.000342293110449,False,-2171838609.96,r,0.0,,56.8559648889,2.0,1901.0,,,r
9,28,0.0,75.19,0.0,192.947872457,335.614339752,-1.24268091683,5.6,2.4,1.0,,,True,,7.0,False,,0.0,6794350.94526,1901-03-07T00:21:05.040000Z,0.0,0.0,False,1.35752124941,0.0,7.71886328756,21.0,3.0,r,0.0,7.0,,,eventFiles/MVOE_/2001/03/2001-03-07-0021-05S.MVO___019.pickle,176.939742261,3.8182421875,1371.18616272,21.8779092964,100.0,10.81,100.0,-252.703112699,1371.18616272,-0.00192718156414,-0.156324034515,-1315.21361161,345.689326627,345.689324942,258.81508086,5.0,07-0021-05L.S200103,0.00521195397789,False,-2171835534.96,r,0.0,,56.8559648889,5.0,1901.0,,,r
10,31,0.0,75.19,0.0,122.048141703,207.273397425,-0.781341511544,2.4,0.0,1.0,,,True,,7.0,False,,0.0,2703326.07834,1901-03-07T00:54:23.040000Z,0.0,0.0,False,0.591531496427,0.0,7.48769264976,54.0,3.0,r,0.0,6.0,,,eventFiles/MVOE_/2001/03/2001-03-07-0054-23S.MVO___019.pickle,106.233086248,1.02798828125,970.690684854,23.5403644102,100.0,11.73,100.0,-152.053895777,896.283122773,-0.0015337272101,3.7161254008,-888.411830724,221.320837912,221.320837433,150.785681404,23.0,07-0054-23L.S200103,-0.0927393695013,False,-2171833536.96,r,0.0,,53.8635456843,1.0,1901.0,,,r
11,32,0.0,75.19,0.0,116.444464709,188.508644975,-1.08295915974,5.8,0.0,1.0,,,True,,7.0,False,,0.0,5884594.61169,1901-03-07T00:56:57.040000Z,0.0,0.0,False,0.678819828799,0.0,8.32224448545,56.0,3.0,r,0.0,7.0,,,eventFiles/MVOE_/2001/03/2001-03-07-0056-57S.MVO___019.pickle,141.133077842,1.4685546875,1131.0990094,28.2484372922,100.0,10.19,100.0,-196.314049988,982.453766594,-0.00179167259238,4.06638926767,-889.273098736,318.928763297,318.928759618,210.061749048,57.0,07-0056-57L.S200103,-0.0455081555489,False,-2171833382.96,r,0.0,,57.8534379572,1.0,1901.0,,,r
12,39,0.0,75.19,0.0,164.812387389,367.539998339,-1.2681914563,6.1,1.0,1.0,,,True,,7.0,False,,0.0,7352537.1192,1901-03-07T01:54:48.040000Z,0.0,1.0,False,1.97996306679,0.0,7.30249802353,54.0,3.0,r,0.0,7.0,,,eventFiles/MVOE_/2001/03/2001-03-07-0154-48S.MVO___019.pickle,180.33786089,3.52453125,1753.7600108,21.9178082192,100.0,12.54,100.0,-261.614485198,1630.85822729,-0.000836925508315,0.80389052794,-1753.7600108,350.50353176,350.503531333,254.08480841,48.0,07-0154-48L.S200103,-0.0662553065887,False,-2171829911.96,r,0.0,,59.8483840936,3.0,1901.0,,,r
13,51,0.0,75.19,0.0,124.539125215,243.702136102,-1.60290700958,5.1,0.0,1.0,,,True,,7.0,False,,0.0,4748506.78496,1901-03-07T02:58:02.040000Z,0.0,2.0,False,0.442165980739,0.0,7.64199010478,58.0,3.0,r,0.0,7.0,,,eventFiles/MVOE_/2001/03/2001-03-07-0258-02S.MVO___019.pickle,151.226310065,3.96509765625,983.037867799,15.7467748371,100.0,9.58,100.0,-242.912290591,983.037867799,0.00404687884325,0.450498198941,-934.078708953,336.669130194,336.669129768,236.898878508,2.0,07-0258-02L.S200103,-0.00538289918429,False,-2171826117.96,r,0.0,,41.8938688655,3.0,1901.0,,,r
