,traceID,classes,minWeight,NtraceID,Nclasses,Nweight,counts,acc_mean,acc_std
0,MV.MBWH..SHZ,"l,t",0,517,208,208,"[106, 102]",98.4,1.2
1,MV.MBWH..SHZ,"e,r",0,517,203,203,"[110, 93]",78.0,3.5
2,MV.MBWH..SHZ,"h,l,t",0,517,314,314,"[106, 106, 102]",84.0,2.2
3,MV.MBWH..SHZ,"h,l,t,r",0,517,424,424,"[110, 106, 106, 102]",82.1,1.8
4,MV.MBWH..SHZ,"e,h,l,t,r",0,517,517,517,"[110, 93, 106, 106, 102]",76.0,1.8
5,MV.MBWH..SHZ,"l,t",1,517,208,208,"[106, 102]",98.7,0.8
6,MV.MBWH..SHZ,"e,r",1,517,203,203,"[110, 93]",77.1,3.5
7,MV.MBWH..SHZ,"h,l,t",1,517,314,314,"[106, 106, 102]",84.4,2.4
8,MV.MBWH..SHZ,"h,l,t,r",1,517,424,424,"[110, 106, 106, 102]",82.2,2.0
9,MV.MBWH..SHZ,"e,h,l,t,r",1,517,517,517,"[110, 93, 106, 106, 102]",76.0,2.2
10,MV.MBWH..SHZ,"l,t",2,517,208,200,"[99, 101]",99.2,0.7
11,MV.MBWH..SHZ,"e,r",2,517,203,181,"[94, 87]",77.3,3.6
12,MV.MBWH..SHZ,"h,l,t",2,517,314,304,"[99, 104, 101]",84.9,2.1
13,MV.MBWH..SHZ,"h,l,t,r",2,517,424,398,"[94, 99, 104, 101]",82.2,2.2
14,MV.MBWH..SHZ,"e,h,l,t,r",2,517,517,485,"[94, 87, 99, 104, 101]",76.1,1.8
15,MV.MBWH..SHZ,"l,t",3,517,208,191,"[92, 99]",98.9,0.8
16,MV.MBWH..SHZ,"e,r",3,517,203,165,"[82, 83]",76.1,3.2
17,MV.MBWH..SHZ,"h,l,t",3,517,314,295,"[92, 104, 99]",85.1,2.1
18,MV.MBWH..SHZ,"h,l,t,r",3,517,424,377,"[82, 92, 104, 99]",81.9,1.9
19,MV.MBWH..SHZ,"e,h,l,t,r",3,517,517,460,"[82, 83, 92, 104, 99]",76.8,1.9
