,traceID,classes,minWeight,NtraceID,Nclasses,Nweight,counts,acc_mean,acc_std
0,MV.MBWH..SHZ,"l,t",0,517,208,208,"[106, 102]",98.5,0.9
1,MV.MBWH..SHZ,"e,r",0,517,203,203,"[110, 93]",74.9,3.6
2,MV.MBWH..SHZ,"h,l,t",0,517,314,314,"[106, 106, 102]",84.4,2.5
3,MV.MBWH..SHZ,"h,l,t,r",0,517,424,424,"[110, 106, 106, 102]",81.8,1.8
4,MV.MBWH..SHZ,"e,h,l,t,r",0,517,517,517,"[110, 93, 106, 106, 102]",75.4,1.8
5,MV.MBWH..SHZ,"l,t",1,517,208,208,"[106, 102]",98.5,0.9
6,MV.MBWH..SHZ,"e,r",1,517,203,203,"[110, 93]",76.0,4.0
7,MV.MBWH..SHZ,"h,l,t",1,517,314,314,"[106, 106, 102]",84.5,2.2
8,MV.MBWH..SHZ,"h,l,t,r",1,517,424,424,"[110, 106, 106, 102]",81.5,1.8
9,MV.MBWH..SHZ,"e,h,l,t,r",1,517,517,517,"[110, 93, 106, 106, 102]",75.3,1.8
10,MV.MBWH..SHZ,"l,t",2,517,208,200,"[99, 101]",98.9,0.8
11,MV.MBWH..SHZ,"e,r",2,517,203,181,"[94, 87]",74.9,4.1
12,MV.MBWH..SHZ,"h,l,t",2,517,314,304,"[99, 104, 101]",84.8,2.1
13,MV.MBWH..SHZ,"h,l,t,r",2,517,424,398,"[94, 99, 104, 101]",82.2,1.9
14,MV.MBWH..SHZ,"e,h,l,t,r",2,517,517,485,"[94, 87, 99, 104, 101]",75.3,2.1
15,MV.MBWH..SHZ,"l,t",3,517,208,191,"[92, 99]",98.9,0.7
16,MV.MBWH..SHZ,"e,r",3,517,203,165,"[82, 83]",75.2,3.5
17,MV.MBWH..SHZ,"h,l,t",3,517,314,295,"[92, 104, 99]",84.9,2.4
18,MV.MBWH..SHZ,"h,l,t,r",3,517,424,377,"[82, 92, 104, 99]",81.9,2.1
19,MV.MBWH..SHZ,"e,h,l,t,r",3,517,517,460,"[82, 83, 92, 104, 99]",75.4,2.3
20,MV.MBLG..SHZ,"l,t",0,474,188,188,"[105, 83]",98.2,1.1
21,MV.MBLG..SHZ,"e,r",0,474,186,186,"[102, 84]",76.9,3.8
22,MV.MBLG..SHZ,"h,l,t",0,474,288,288,"[105, 100, 83]",85.5,2.9
23,MV.MBLG..SHZ,"h,l,t,r",0,474,390,390,"[102, 105, 100, 83]",82.6,2.7
24,MV.MBLG..SHZ,"e,h,l,t,r",0,474,474,474,"[102, 84, 105, 100, 83]",75.4,2.1
25,MV.MBLG..SHZ,"l,t",1,474,188,188,"[105, 83]",98.3,1.2
26,MV.MBLG..SHZ,"e,r",1,474,186,186,"[102, 84]",76.6,3.3
27,MV.MBLG..SHZ,"h,l,t",1,474,288,288,"[105, 100, 83]",85.5,2.2
28,MV.MBLG..SHZ,"h,l,t,r",1,474,390,390,"[102, 105, 100, 83]",82.3,2.1
29,MV.MBLG..SHZ,"e,h,l,t,r",1,474,474,474,"[102, 84, 105, 100, 83]",76.0,2.4
30,MV.MBLG..SHZ,"l,t",2,474,188,180,"[98, 82]",98.4,0.9
31,MV.MBLG..SHZ,"e,r",2,474,186,164,"[86, 78]",76.7,4.1
32,MV.MBLG..SHZ,"h,l,t",2,474,288,278,"[98, 98, 82]",86.0,2.5
33,MV.MBLG..SHZ,"h,l,t,r",2,474,390,364,"[86, 98, 98, 82]",82.9,1.9
34,MV.MBLG..SHZ,"e,h,l,t,r",2,474,474,442,"[86, 78, 98, 98, 82]",76.9,2.4
