,filetime,Fs,Unnamed: 0,Unnamed: 0.1,bandratio_[0.8_4.0_16.0],bandratio_[1.0_6.0_11.0],bw_max,bw_min,calib,cft_peak_wmean,cft_std_wmean,coincidence_sum,day,detection_quality,energy,hour,kurtosis,medianF,minute,month,noise_level,num_gaps,num_traces,offtime,ontime,path,peakA,peakF,peakamp,peaktime,percent_availability,quality,sample_lower_quartile,sample_max,sample_mean,sample_median,sample_min,sample_rms,sample_stdev,sample_upper_quartile,second,sfile,signal_level,skewness,snr,subclass,trigger_duration,year,D,R,r,e,l,h,t,new_subclass,weight,checked,split,delete,ignore
70626,2000-02-01T00:19:22.040000Z,75.19,140989.0,70495.0,0.903064387533,-0.388344609709,5.55,0.0,1.0,,,,1,,9.090751118830001e-12,0,1.19,8.95,19,2,7.97110597413e-07,0.0,19,,,./WAV/MVOE_/2000/02/2000-02-01-0019-22S.MVO___019,1.39613464715e-07,2.65,1.69247913067e-06,18.065,100.0,4.875,-2.40603194233e-07,1.69247913067e-06,1.12222217386e-08,1.9458031451900003e-08,-1.49519611498e-06,3.57318542987e-07,3.56232647575e-07,2.07637917826e-07,22.0,01-0019-22L.S200002,1.69247913067e-06,0.015,2.45273421496,r,,2000,0,0,100,0,0,0,0,r,3,False,False,False,False
70627,2000-02-01T01:22:51.040000Z,75.19,140990.0,70496.0,-0.000396487702814,-0.866000056147,3.0,0.3,1.0,5.54207975897,1.1303667954799999,17.0,1,106.497909936,7.75118460913e-12,1,1.71,8.45,22,2,9.14964718499e-07,0.0,19,2000-02-01T01:23:47.882665Z,2000-02-01T01:22:59.538471Z,./WAV/MVOE_/2000/02/2000-02-01-0122-51S.MVO___019,1.77089256583e-07,1.85,1.7904725420900002e-06,17.055,100.0,4.845,-2.3761719272800003e-07,1.7904725420900002e-06,4.5704106229099995e-09,1.81428332285e-08,-1.54953511339e-06,3.82261322318e-07,3.75997294393e-07,2.42471935725e-07,51.0,01-0122-51L.S200002,1.7904725420900002e-06,0.005,2.1205169076900003,h,48.3441946507,2000,0,0,0,0,0,100,0,h,3,False,False,False,False
70628,2000-02-01T01:58:08.040000Z,75.19,140991.0,70497.0,0.350411546286,-0.800775237658,4.5,0.0,1.0,,,,1,,3.5337565037199993e-12,1,0.245,8.45,58,2,7.29690380919e-07,0.0,19,,,./WAV/MVOE_/2000/02/2000-02-01-0158-08S.MVO___019,1.45194051475e-07,1.0,1.0733422806700001e-06,21.16,100.0,4.64,-2.23153634615e-07,1.00355992419e-06,-6.45352210273e-08,-6.918906322260001e-08,-9.40050982914e-07,3.27212811731e-07,2.68262518921e-07,2.29017529777e-07,8.0,01-0158-08L.S200002,1.0733422806700001e-06,0.02,1.75786185941,h,,2000,0,0,0,0,0,100,0,h,3,False,False,False,False
70629,2000-02-01T02:05:50.040000Z,75.19,140992.0,70498.0,1.04338387345,-0.572777777297,5.2,0.0,1.0,,,,1,,5.2496129626999996e-12,2,0.105,8.55,5,2,6.22455666798e-07,0.0,19,,,./WAV/MVOE_/2000/02/2000-02-01-0205-50S.MVO___019,1.68972903932e-07,2.75,1.1007048901600001e-06,24.975,100.0,4.73,-2.39673012477e-07,1.01355355776e-06,-2.58321898837e-08,-3.18920790353e-08,-1.1007048901600001e-06,3.05790002573e-07,3.03791311541e-07,1.7281236215999999e-07,50.0,01-0205-50L.S200002,1.1007048901600001e-06,-0.005,1.98425345625,r,,2000,0,0,100,0,0,0,0,r,3,False,False,False,False
70630,2000-02-01T02:07:58.040000Z,75.19,140993.0,70499.0,0.6418989923789999,-0.828571593786,5.3,0.4,1.0,4.73971082786,0.6130281015429999,8.0,1,23.2446074453,1.7358976574200003e-11,2,0.86,7.8,7,2,6.61114608698e-07,0.0,19,2000-02-01T02:10:03.708307Z,2000-02-01T02:08:05.540998Z,./WAV/MVOE_/2000/02/2000-02-01-0207-58S.MVO___019,1.40229012442e-07,3.15,1.76161228893e-06,59.84,100.0,4.915,-2.2343824461300002e-07,1.76161228893e-06,-2.72278662242e-10,1.3561237889399999e-09,-1.5753561919200002e-06,3.73288649238e-07,3.73024446194e-07,2.2561753658800001e-07,58.0,01-0207-58L.S200002,1.76161228893e-06,0.035,2.53504748365,r,118.16730940299999,2000,0,0,100,0,0,0,0,r,3,False,False,False,False
70631,2000-02-01T02:25:30.040000Z,75.19,140994.0,70500.0,0.240431664952,-0.9177029815469999,3.9,0.0,1.0,,,,1,,3.5507298872800007e-12,2,0.39,7.75,25,2,6.61260800003e-07,0.0,19,,,./WAV/MVOE_/2000/02/2000-02-01-0225-30S.MVO___019,1.73661180324e-07,0.9,1.07403411423e-06,16.205,100.0,4.67,-3.0465583176700003e-07,1.07392791195e-06,2.7759850553799998e-08,3.4588390353e-08,-1.04808565634e-06,3.18807533085e-07,2.97338123531e-07,1.9301118245799998e-07,30.0,01-0225-30L.S200002,1.07403411423e-06,0.07,1.84991549268,h,,2000,0,0,0,0,0,100,0,h,3,False,False,False,False
70632,2000-02-01T02:33:58.040000Z,75.19,140995.0,70501.0,-0.0433036329994,-0.95365078926,3.6,0.0,1.0,,,,1,,3.4309967814599994e-12,2,0.35,7.65,33,2,6.57791189604e-07,0.0,19,,,./WAV/MVOE_/2000/02/2000-02-01-0233-58S.MVO___019,1.49103553767e-07,2.2,1.08844265246e-06,13.36,100.0,4.68,-2.69490317436e-07,9.237201305540001e-07,-1.4038884598500001e-08,-1.9805032073199997e-09,-1.08844265246e-06,3.07450085866e-07,2.90234507821e-07,1.68339647879e-07,58.0,01-0233-58L.S200002,1.08844265246e-06,0.025,1.8180800724500001,h,,2000,0,0,0,0,0,100,0,h,3,False,False,False,False
70633,2000-02-01T02:36:37.040000Z,75.19,140996.0,70502.0,-0.242543696114,-1.15685055908,4.1,0.0,1.0,,,,1,,3.19404391412e-12,2,0.36,8.05,36,2,6.121383075020001e-07,0.0,19,,,./WAV/MVOE_/2000/02/2000-02-01-0236-37S.MVO___019,1.60185123915e-07,2.45,9.65198614518e-07,12.25,100.0,4.675,-1.5003842057899998e-07,9.65198614518e-07,3.01929886466e-08,3.04900055252e-08,-9.51664415824e-07,3.11244518013e-07,2.97129611613e-07,2.74643069675e-07,37.0,01-0236-37L.S200002,9.65198614518e-07,-0.055,1.9172514563599998,h,,2000,0,0,0,0,0,100,0,h,3,False,False,False,False
70634,2000-02-01T02:57:43.040000Z,75.19,140997.0,70503.0,0.477953139922,-1.0090914466399998,4.7,0.0,1.0,,,,1,,7.07522712605e-12,2,0.25,7.45,57,2,6.33976601283e-07,0.0,19,,,./WAV/MVOE_/2000/02/2000-02-01-0257-43S.MVO___019,1.6973934062e-07,2.8,1.36232872309e-06,26.615,100.0,4.8,-2.42491282898e-07,1.09572266095e-06,-7.16784874294e-09,-6.36174229404e-09,-1.36232872309e-06,3.33536523102e-07,3.32033146666e-07,2.0132738652e-07,43.0,01-0257-43L.S200002,1.36232872309e-06,-0.075,2.11873647485,r,,2000,0,0,100,0,0,0,0,r,3,False,False,False,False
70635,2000-02-01T03:02:00.040000Z,75.19,140998.0,70504.0,0.849659856048,-0.767808888204,5.5,2.25,1.0,4.751160034130001,0.665146398881,8.0,1,25.2817358977,2.9809888077e-11,3,1.385,7.7,2,2,9.770491282639999e-07,0.0,19,2000-02-01T03:03:17.537008Z,2000-02-01T03:02:07.381402Z,./WAV/MVOE_/2000/02/2000-02-01-0302-00S.MVO___019,1.39662504731e-07,3.2,2.6350292566799997e-06,31.08,100.0,5.02,-2.2901776557399996e-07,2.63116066597e-06,5.54809940209e-11,3.53441793111e-09,-2.60945818627e-06,4.7548125079099997e-07,4.75462309248e-07,2.30669960269e-07,0.0,01-0302-00L.S200002,2.6350292566799997e-06,-0.02,2.6745781638499997,r,70.155605793,2000,0,0,100,0,0,0,0,r,3,False,False,False,False
