,year,month,sfiles
0,1996,10,424
1,1996,11,2091
2,1996,12,5570
3,1997,01,1729
4,1997,02,2695
5,1997,03,2846
6,1997,04,2315
7,1997,05,3909
8,1997,06,5226
9,1997,07,2556
10,1997,08,6113
11,1997,09,3343
12,1997,10,2515
13,1997,11,7229
14,1997,12,4516
15,1998,01,2142
16,1998,02,3055
17,1998,03,631
18,1998,04,359
19,1998,05,450
20,1998,06,280
21,1998,07,710
22,1998,08,609
23,1998,09,238
24,1998,10,693
25,1998,11,1060
26,1998,12,641
27,1999,01,551
28,1999,02,513
29,1999,03,450
30,1999,04,723
31,1999,05,870
32,1999,06,278
33,1999,07,409
34,1999,08,489
35,1999,09,548
36,1999,10,597
37,1999,11,801
38,1999,12,470
39,2000,01,908
40,2000,02,1775
41,2000,03,1575
42,2000,04,1599
43,2000,05,3878
44,2000,06,1846
45,2000,07,1438
46,2000,08,2249
47,2000,09,3532
48,2000,10,2738
49,2000,11,2171
50,2000,12,3614
51,2001,01,4022
52,2001,02,3031
53,2001,03,2075
54,2001,04,463
55,2001,05,1865
56,2001,06,2367
57,2001,07,2604
58,2001,08,1587
59,2001,09,2417
60,2001,10,1606
61,2001,11,2771
62,2001,12,4241
63,2002,01,4069
64,2002,02,4033
65,2002,03,4401
66,2002,04,4532
67,2002,05,3337
68,2002,06,843
69,2002,07,1209
70,2002,08,2041
71,2002,09,3863
72,2002,10,3638
73,2002,11,3207
74,2002,12,3355
75,2003,01,4017
76,2003,02,4709
77,2003,03,6094
78,2003,04,3856
79,2003,05,3695
80,2003,06,1093
81,2003,07,786
82,2003,08,297
83,2003,09,429
84,2003,10,213
85,2003,11,559
86,2003,12,106
87,2004,01,154
88,2004,02,89
89,2004,03,122
90,2004,04,306
91,2004,05,96
92,2004,06,108
93,2004,07,194
94,2004,08,58
95,2004,09,157
96,2004,10,268
97,2004,11,720
98,2004,12,310
99,2005,01,103
100,2005,02,141
101,2005,03,105
102,2005,04,127
103,2005,05,199
104,2005,06,288
105,2005,07,285
106,2005,08,207
107,2005,09,298
108,2005,10,1075
109,2005,11,774
110,2005,12,730
111,2006,01,509
112,2006,02,1171
113,2006,03,2684
114,2006,04,3823
115,2006,05,3509
116,2006,06,2334
117,2006,07,1826
118,2006,08,2143
119,2006,09,2472
120,2006,10,3976
121,2006,11,2793
122,2006,12,1496
123,2007,01,858
124,2007,02,2256
125,2007,03,1803
126,2007,04,106
127,2007,05,51
128,2007,06,60
129,2007,07,82
130,2007,08,100
131,2007,09,101
132,2007,10,78
133,2007,11,141
134,2007,12,54
135,2008,01,88
136,2008,02,42
137,2008,03,118
138,2008,04,117
139,2008,05,153
140,2008,06,139
141,2008,07,1961
142,2008,08,247
143,2008,09,125
144,2008,10,85
145,2008,11,0
146,2008,12,0
