WAV, Bzip2/Seisan, Miniseed/Seisan, Pickle/Seisan
2005-09-18-2137-35S.MVO___036, 0.27, 0.32, 1.65
2005-09-19-1628-55S.MVO___036, 0.31, 0.39, 1.61
2005-09-21-0835-37S.MVO___036, 0.29, 0.33, 1.63
2005-09-21-0837-05S.MVO___036, 0.29, 0.34, 1.63
2005-09-22-1042-00S.MVO___036, 0.31, 0.36, 1.62
2005-09-22-1455-04S.MVO___036, 0.30, 0.35, 1.61
2005-09-22-2254-05S.MVO___036, 0.28, 0.32, 1.62
2005-09-22-2325-09S.MVO___036, 0.30, 0.34, 1.62
2005-09-22-2345-34S.MVO___036, 0.29, 0.35, 1.63
2005-09-23-0127-33S.MVO___036, 0.30, 0.33, 1.63
2005-09-23-0146-11S.MVO___036, 0.30, 0.34, 1.64
2005-09-23-1523-51S.MVO___036, 0.29, 0.31, 1.61
2005-09-23-1549-22S.MVO___036, 0.31, 0.34, 1.61
2005-09-24-0348-30S.MVO___036, 0.31, 0.35, 1.62
2005-09-24-0840-47S.MVO___036, 0.30, 0.34, 1.62
2005-09-24-1224-28S.MVO___036, 0.32, 0.36, 1.60
2005-09-24-1254-00S.MVO___036, 0.31, 0.33, 1.59
2005-09-24-1557-33S.MVO___036, 0.33, 0.38, 1.59
2005-09-25-1617-48S.MVO___036, 0.33, 0.35, 1.58
2005-09-25-1641-27S.MVO___036, 0.33, 0.34, 1.59
2005-09-27-2303-39S.MVO___036, 0.31, 0.34, 1.63
2005-09-28-0940-42S.MVO___036, 0.29, 0.35, 1.65
2005-09-30-0152-16S.MVO___036, 0.32, 0.35, 1.65
2005-09-30-1103-40S.MVO___036, 0.29, 0.34, 1.64
2005-11-25-1537-37S.MVO___037, 0.35, 0.39, 1.63
2005-11-25-1604-06S.MVO___037, 0.34, 0.41, 1.61
