wav,original_id,corrected_id
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-30-1626-00S.MVO_21_1,.MBGA.J.SBZ,MV.MBGA..BHZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-30-1626-00S.MVO_21_1,.MBGA.J.SBN,MV.MBGA..BHN
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-30-1626-00S.MVO_21_1,.MBGA.J.SBE,MV.MBGA..BHE
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-30-1626-00S.MVO_21_1,.MBLG.J.S Z,MV.MBLG..SHZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-30-1626-00S.MVO_21_1,.MBLG.J.A N,MV.MBLG..SNZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-30-1626-00S.MVO_21_1,.MBRY.J.S Z,MV.MBRY..SHZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-30-1626-00S.MVO_21_1,.MBRY.J.A N,MV.MBRY..SNZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-30-1626-00S.MVO_21_1,.MBGE.J.SBZ,MV.MBGE..BHZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-30-1626-00S.MVO_21_1,.MBGE.J.SBN,MV.MBGE..BHN
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-30-1626-00S.MVO_21_1,.MBGE.J.SBE,MV.MBGE..BHE
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-30-1626-00S.MVO_21_1,.MBGH.J.SBZ,MV.MBGH..BHZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-30-1626-00S.MVO_21_1,.MBGH.J.SBN,MV.MBGH..BHN
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-30-1626-00S.MVO_21_1,.MBGH.J.SBE,MV.MBGH..BHE
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-30-1626-00S.MVO_21_1,.MBWH.J.S Z,MV.MBWH..SHZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-30-1626-00S.MVO_21_1,.MBWH.J.A N,MV.MBWH..SNZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-30-1626-00S.MVO_21_1,.MBBE.J.SBZ,MV.MBBE..BHZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-30-1626-00S.MVO_21_1,.MBBE.J.SBN,MV.MBBE..BHN
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-30-1626-00S.MVO_21_1,.MBBE.J.SBE,MV.MBBE..BHE
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-30-1626-00S.MVO_21_1,.MBGB.J.SBZ,MV.MBGB..BHZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-30-1626-00S.MVO_21_1,.MBGB.J.SBN,MV.MBGB..BHN
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-30-1626-00S.MVO_21_1,.MBGB.J.SBE,MV.MBGB..BHE
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1,.MBGA.J.SBZ,MV.MBGA..BHZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1,.MBGA.J.SBN,MV.MBGA..BHN
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1,.MBGA.J.SBE,MV.MBGA..BHE
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1,.MBLG.J.S Z,MV.MBLG..SHZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1,.MBLG.J.A N,MV.MBLG..SNZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1,.MBRY.J.S Z,MV.MBRY..SHZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1,.MBRY.J.A N,MV.MBRY..SNZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1,.MBGE.J.SBZ,MV.MBGE..BHZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1,.MBGE.J.SBN,MV.MBGE..BHN
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1,.MBGE.J.SBE,MV.MBGE..BHE
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1,.MBGH.J.SBZ,MV.MBGH..BHZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1,.MBGH.J.SBN,MV.MBGH..BHN
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1,.MBGH.J.SBE,MV.MBGH..BHE
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1,.MBWH.J.S Z,MV.MBWH..SHZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1,.MBWH.J.A N,MV.MBWH..SNZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1,.MBBE.J.SBZ,MV.MBBE..BHZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1,.MBBE.J.SBN,MV.MBBE..BHN
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1,.MBBE.J.SBE,MV.MBBE..BHE
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1,.MBGB.J.SBZ,MV.MBGB..BHZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1,.MBGB.J.SBN,MV.MBGB..BHN
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-25-0630-32S.MVO_21_1,.MBGB.J.SBE,MV.MBGB..BHE
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-26-1107-19S.MVO_21_1,.MBGA.J.SBZ,MV.MBGA..BHZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-26-1107-19S.MVO_21_1,.MBGA.J.SBN,MV.MBGA..BHN
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-26-1107-19S.MVO_21_1,.MBGA.J.SBE,MV.MBGA..BHE
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-26-1107-19S.MVO_21_1,.MBLG.J.S Z,MV.MBLG..SHZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-26-1107-19S.MVO_21_1,.MBLG.J.A N,MV.MBLG..SNZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-26-1107-19S.MVO_21_1,.MBRY.J.S Z,MV.MBRY..SHZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-26-1107-19S.MVO_21_1,.MBRY.J.A N,MV.MBRY..SNZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-26-1107-19S.MVO_21_1,.MBGE.J.SBZ,MV.MBGE..BHZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-26-1107-19S.MVO_21_1,.MBGE.J.SBN,MV.MBGE..BHN
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-26-1107-19S.MVO_21_1,.MBGE.J.SBE,MV.MBGE..BHE
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-26-1107-19S.MVO_21_1,.MBGH.J.SBZ,MV.MBGH..BHZ
/Users/gt/DATA/MVO/WAV/MVOE_/1996/10/9610-26-1107-19S.MVO_21_1,.MBGH.J.SBN,MV.MBGH..BHN
