,filename,starttime,endtime,hours,npts,nRECS,Fs,numValidTimes,numTimeSkips,passed
0,20221202.100hz.100hz_Sensors_100Hz0.pkl,2022-07-21 13:36:27.000000,2022-07-21 16:00:00.000000,2.39,861207,861207,100.000095368,861207,1.0,False
1,20221202.100hz.100hz_Sensors_100Hz1.pkl,2056-05-27 07:07:24.924000,2022-07-21 20:00:00.000000,12.88,1440001,1440000,100.000095368,1440000,0.0,False
2,20221202.100hz.100hz_Sensors_100Hz10.pkl,2022-07-23 04:00:00.010000,2022-07-23 08:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
3,20221202.100hz.100hz_Sensors_100Hz11.pkl,2022-07-23 08:00:00.010000,2022-07-23 12:00:00.000000,4.0,1439752,1439752,100.000095368,1439752,2.0,False
4,20221202.100hz.100hz_Sensors_100Hz12.pkl,2022-07-23 12:00:00.010000,2022-07-23 16:00:00.000000,4.0,1439703,1439703,100.000095368,1439703,3.0,False
5,20221202.100hz.100hz_Sensors_100Hz13.pkl,2022-07-23 16:00:00.010000,2022-07-23 20:00:00.000000,4.0,1439802,1439802,100.000095368,1439802,2.0,False
6,20221202.100hz.100hz_Sensors_100Hz14.pkl,2056-07-14 20:14:01.041800,2022-07-24 00:00:00.000000,3.77,1440001,21013669,100.000095368,1440001,1.0,False
7,20221202.100hz.100hz_Sensors_100Hz15.pkl,2022-07-24 00:00:00.010000,2022-07-24 04:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
8,20221202.100hz.100hz_Sensors_100Hz16.pkl,2022-07-24 04:00:00.010000,2022-07-24 08:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
9,20221202.100hz.100hz_Sensors_100Hz17.pkl,2022-07-24 08:00:00.010000,2022-07-24 12:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
10,20221202.100hz.100hz_Sensors_100Hz18.pkl,2022-07-24 12:00:00.010000,2022-07-24 16:00:00.000000,4.0,1439802,1439802,100.000095368,1439802,2.0,False
11,20221202.100hz.100hz_Sensors_100Hz19.pkl,2022-07-24 16:00:00.010000,2022-07-24 20:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
12,20221202.100hz.100hz_Sensors_100Hz2.pkl,2022-07-21 20:00:00.010000,2022-07-22 00:00:00.000000,4.0,1439802,1439802,100.000095368,1439802,2.0,False
13,20221202.100hz.100hz_Sensors_100Hz20.pkl,2022-07-24 20:00:00.010000,2022-07-25 00:00:00.000000,4.0,1439802,1439802,100.000095368,1439802,2.0,False
14,20221202.100hz.100hz_Sensors_100Hz21.pkl,2022-07-25 00:00:00.010000,2022-07-25 04:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
15,20221202.100hz.100hz_Sensors_100Hz22.pkl,2022-07-25 04:00:00.010000,2022-07-25 08:00:00.000000,4.0,1439901,1439901,100.000095368,1439901,1.0,False
16,20221202.100hz.100hz_Sensors_100Hz23.pkl,2056-08-17 05:14:48.966300,2022-07-25 12:00:00.000000,6.75,1440001,1440000,100.000095368,1440000,0.0,False
17,20221202.100hz.100hz_Sensors_100Hz24.pkl,2022-07-25 12:00:00.010000,2022-07-25 16:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
18,20221202.100hz.100hz_Sensors_100Hz25.pkl,2022-07-25 16:00:00.010000,2022-07-25 20:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
19,20221202.100hz.100hz_Sensors_100Hz26.pkl,2022-07-25 20:00:00.010000,2022-07-26 00:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
20,20221202.100hz.100hz_Sensors_100Hz27.pkl,2022-07-26 00:00:00.010000,2022-07-26 04:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
