,Description,Date,Age,Miles,eq25_100m,Minutes,Seconds
31, St Andrews or Glasgow,1991-05-01,19,0.249,0.1547563655190532,0.0,9.0
35, Durham Track with Andy,1994-05-01,22,0.249,0.16141255328331353,0.0,9.0
40, Track meet 400m,1998-06-10,26,0.249,0.16141255328331353,0.0,9.0
62, Track meet 400m,1999-06-09,27,0.249,0.16141255328331353,0.0,9.0
47, Track meet 400m,1998-07-08,26,0.249,0.16307660022437862,0.0,9.0
0, Leicester,1983-09-04,12,6.0,0.1687298983518801,0.0,10.0
39, Track meet 200m,1998-06-10,26,0.124,0.1699091918845245,0.0,10.0
45, Track meet 200m,1998-06-24,26,0.124,0.1699091918845245,0.0,10.0
69, Track meet 200m,1999-07-07,27,0.124,0.1699091918845245,0.0,10.0
1, Humphries Sports Day,1984-05-01,12,0.249,0.17139683492970406,0.0,10.0
32, Track meet mile  Glasgow,1991-05-01,19,1.0,0.17165071955181507,0.0,10.0
29, St Andrews 1500m,1991-04-01,19,0.932,0.17463199691685896,0.0,10.0
33, Track meet 5k  Glasgow,1991-05-01,19,3.108,0.1754312760415423,0.0,10.0
46, Track meet 800m,1998-06-24,26,0.497,0.177479517556352,0.0,10.0
8, barrow,1985-06-01,13,4.0,0.17966810423915106,0.0,10.0
72, Mapco Mile,1999-07-21,28,1.0,0.18091911693582238,0.0,10.0
61, Presbyterian 5k,1999-05-22,27,3.108,0.18243539436135434,0.0,10.0
207, St Pete Run Festival,2021-11-13,50,6.215,0.18327304048531498,0.0,10.0
140, Valkyeries,2010-07-17,38,4.972,0.183392508471758,0.0,11.0
41, Track meet 800m,1998-06-10,26,0.497,0.18373430231604723,0.0,11.0
123, Golden Mile,2009-07-25,38,1.0,0.184255739994065,0.0,11.0
163, Golden Mile,2013-07-20,42,1.0,0.1846264758894253,0.0,11.0
139, Flint Hills Mile,2010-07-01,38,1.0,0.1853679476801459,0.0,11.0
141, Golden Mile,2010-07-24,39,1.0,0.1853679476801459,0.0,11.0
117, Midnight Sun Run,2009-06-19,37,6.215,0.1856398456123011,0.0,11.0
99, Flint Hills Mile,2007-06-28,35,1.0,0.18610941947086646,0.0,11.0
49, Mapco Mile,1998-07-22,27,1.0,0.18610941947086646,0.0,11.0
168, Flint Hills Mile,2014-05-26,42,1.0,0.18648015536622675,0.0,11.0
206, Trot thru the terrace,2021-11-06,50,6.215,0.1867717958904249,0.0,11.0
4, Leicester,1984-09-01,13,5.0,0.18683429726795492,0.0,11.0
119, Flint Hills Mile,2009-07-02,37,1.0,0.18722162715694735,0.0,11.0
48, Track meet mile,1998-07-08,26,1.0,0.18722162715694735,0.0,11.0
185, Thanksgiving Turkey Trot,2016-11-24,45,1.0,0.18722162715694735,0.0,11.0
122, Fast mile during run around Patty center,2009-09-19,38,1.0,0.18722162715694735,0.0,11.0
17, Leicester,1987-09-06,16,5.0,0.1874857418190984,0.0,11.0
198, Jim Loftus Mile,2019-06-06,47,1.0,0.1879630989476679,0.0,11.0
162, Flint Hills Mile,2013-06-27,41,1.0,0.1883338348430282,0.0,11.0
9, sileby,1985-09-01,14,9.0,0.18898023271606051,0.0,11.0
177, Midnight Sun Run,2016-06-18,44,6.215,0.1891900533027803,0.0,11.0
