,Description,Date,Age,Miles,eq_15k,Minutes,Seconds
101, Santa Claus Half,2007-07-07,35,13.112,61.53755688626158,61.0,32.0
24, sileby,1988-09-11,17,9.0,61.7071856527902,61.0,42.0
127, Final leg of Skagway-Whitehorse Klondike Relay,2009-09-12,38,12.1,62.21323402128974,62.0,12.0
143, Santa Claus Half,2010-08-07,39,13.112,63.264502991280814,63.0,15.0
71, Santa Claus Half M,1999-07-10,27,13.112,63.264502991280814,63.0,15.0
52, Santa Claus Half M,1998-08-08,27,13.112,63.42795879545959,63.0,25.0
50, Grandmas over the hill,1998-07-23,27,9.0,63.52210287787226,63.0,31.0
124, Santa Claus Half,2009-08-08,38,13.112,64.05335491579577,64.0,3.0
159, Halloween Run,2012-10-27,41,10.0,64.06921559214865,64.0,4.0
34, St Andrews Half,1991-05-15,19,13.112,64.19549039769035,64.0,11.0
75, Gold Discovery Run,2000-07-23,29,16.3,64.3022933664202,64.0,18.0
28, sileby,1989-09-10,18,9.0,64.81847232435945,64.0,49.0
146, Murphy Dome Roam,2011-05-15,39,11.0,64.9013969580584,64.0,54.0
54, Musk Ox Run,1998-08-27,27,11.5,65.74675125300567,65.0,44.0
84, Robin Hood Half Marathon,2004-09-12,33,13.112,66.05746521050945,66.0,3.0
51, Gold Discovery Run,1998-07-26,27,16.3,66.32075100572487,66.0,19.0
85, Turkey Trot - Keyworth,2004-12-12,33,12.6,66.49136085072239,66.0,29.0
142, Gold Discovery.,2010-07-25,39,16.3,67.49722345834817,67.0,29.0
12, sileby,1986-09-07,15,9.0,68.96685455311845,68.0,58.0
25, Bellshire Half M in Melton,1988-10-18,17,13.112,68.99256291163269,68.0,59.0
9, sileby,1985-09-01,14,9.0,69.66170857643559,69.0,39.0
137, Murphy Dome Roam,2010-05-09,38,11.0,70.88449449012941,70.0,53.0
74, Santa Claus Half M,2000-07-01,28,13.112,72.97235640468112,72.0,58.0
167, Murphy Dome Roam,2014-05-18,42,11.0,74.4084375280865,74.0,24.0
91, Turkey Trot - Keyworth,2005-12-11,34,13.112,74.62112799465834,74.0,37.0
155, Santa Claus Half,2012-08-04,41,13.112,76.62523828937202,76.0,37.0
128, Equinox Marathon,2009-09-18,38,26.224,77.2367168681112,77.0,14.0
197, Trout Creek 15km trail race,2019-02-10,47,9.323,79.39560654997193,79.0,23.0
107, Equinox Leg 2,2007-09-15,36,8.7,79.61735482964822,79.0,37.0
145, Equinox Marathon,2010-09-18,39,26.224,80.80553239947513,80.0,48.0
113, Equinox Marathon,2008-09-18,37,26.224,82.0490573579957,82.0,2.0
55, Equinox Marathon,1998-09-19,27,26.224,82.63206499437527,82.0,37.0
154, Gold Discovery Run,2012-07-22,41,16.3,82.67602490591928,82.0,40.0
36, Leeds Half M,1995-07-01,23,13.112,84.71274720917404,84.0,42.0
157, Equinox Marathon,2012-09-15,41,26.224,88.19254245117457,88.0,11.0
173, Spacecoast Marathon,2015-11-29,44,26.224,90.25834407603395,90.0,15.0
3, Barrow,1984-06-02,12,9.2,93.7723644839636,93.0,46.0
5, sileby,1984-09-01,13,9.0,96.79212835251948,96.0,47.0
165, Sourdough Triathlon,2013-07-14,41,13.112,98.74862604626453,98.0,44.0
78, Leeds Half M with Tanya,2001-06-01,29,13.112,99.49483732621111,99.0,29.0
