,Description,Date,Age,Miles,eq25_16.3,Minutes,Seconds
142, Gold Discovery.,2010-07-25,39,16.3,109.83,109.0,49.0
75, Gold Discovery Run,2000-07-23,29,16.3,111.32,111.0,19.0
51, Gold Discovery Run,1998-07-26,27,16.3,114.9,114.0,54.0
128, Equinox Marathon,2009-09-18,38,26.224,125.16877778320367,125.0,10.0
145, Equinox Marathon,2010-09-18,39,26.224,129.08395430583423,129.0,5.0
154, Gold Discovery Run,2012-07-22,41,16.3,129.72,129.0,43.0
173, Spacecoast Marathon,2015-11-29,44,26.224,133.3029952749973,133.0,18.0
113, Equinox Marathon,2008-09-18,37,26.224,133.88734997986754,133.0,53.0
157, Equinox Marathon,2012-09-15,41,26.224,136.37085747556603,136.0,22.0
55, Equinox Marathon,1998-09-19,27,26.224,143.1493720520607,143.0,8.0
