,Description,Date,Age,Miles,eq25_20k,Minutes,Seconds
127, Final leg of Skagway-Whitehorse Klondike Relay,2009-09-12,38,12.1,78.88750519549612,78.0,53.0
101, Santa Claus Half,2007-07-07,35,13.112,79.38505656762686,79.0,23.0
143, Santa Claus Half,2010-08-07,39,13.112,79.52744277455194,79.0,31.0
34, St Andrews Half,1991-05-15,19,13.112,80.11597242984224,80.0,6.0
124, Santa Claus Half,2009-08-08,38,13.112,81.1601379472928,81.0,9.0
71, Santa Claus Half M,1999-07-10,27,13.112,84.45400553415953,84.0,27.0
142, Gold Discovery.,2010-07-25,39,16.3,84.60124026428895,84.0,36.0
52, Santa Claus Half M,1998-08-08,27,13.112,84.65334622385464,84.0,39.0
75, Gold Discovery Run,2000-07-23,29,16.3,85.74897629263995,85.0,44.0
25, Bellshire Half M in Melton,1988-10-18,17,13.112,86.12467036208042,86.0,7.0
84, Robin Hood Half Marathon,2004-09-12,33,13.112,86.6657379483957,86.0,39.0
85, Turkey Trot - Keyworth,2004-12-12,33,12.6,87.10437921199409,87.0,6.0
51, Gold Discovery Run,1998-07-26,27,16.3,88.50662393122828,88.0,30.0
155, Santa Claus Half,2012-08-04,41,13.112,93.14905657038412,93.0,8.0
128, Equinox Marathon,2009-09-18,38,26.224,96.41658784325054,96.0,24.0
91, Turkey Trot - Keyworth,2005-12-11,34,13.112,96.82262070905107,96.0,49.0
74, Santa Claus Half M,2000-07-01,28,13.112,97.2972413988013,97.0,17.0
145, Equinox Marathon,2010-09-18,39,26.224,99.43241948914121,99.0,25.0
154, Gold Discovery Run,2012-07-22,41,16.3,99.92236080382013,99.0,55.0
173, Spacecoast Marathon,2015-11-29,44,26.224,102.68231568068308,102.0,40.0
113, Equinox Marathon,2008-09-18,37,26.224,103.13243980693542,103.0,7.0
157, Equinox Marathon,2012-09-15,41,26.224,105.04546734350784,105.0,2.0
55, Equinox Marathon,1998-09-19,27,26.224,110.26690720803494,110.0,16.0
36, Leeds Half M,1995-07-01,23,13.112,113.14957243645968,113.0,8.0
165, Sourdough Triathlon,2013-07-14,41,13.112,115.50369105762093,115.0,30.0
78, Leeds Half M with Tanya,2001-06-01,29,13.112,132.18186209544473,132.0,10.0
