,Description,Date,Age,Miles,eq_5Mi,Minutes,Seconds
140, Valkyeries,2010-07-17,38,4.972,29.6809939803002,29.0,40.0
117, Midnight Sun Run,2009-06-19,37,6.215,29.839336868174577,29.0,50.0
56, Miller Hill / Yankovich Cookie Challenge,1998-10-10,27,6.5,30.253637295798857,30.0,15.0
106, Yankovitch loop run SUPER FAST  HILLY,2007-08-26,36,5.25,30.269215633674563,30.0,16.0
98, Midnight Sun Run,2007-06-23,35,6.215,30.329024238695172,30.0,19.0
105, Morning run near Pioneer Park,2007-08-05,36,5.0,30.58,30.0,34.0
86, LRRL Beaumont Markfield,2005-01-23,33,6.215,30.60546065753745,30.0,36.0
87, LRRL Barrow ,2005-01-30,33,6.0,30.831651109976853,30.0,49.0
104, GCI 8k,2007-08-04,36,4.972,30.95878592453685,30.0,57.0
44, Midnight Sun Run,1998-06-20,26,6.215,31.063555294476068,31.0,3.0
135, Spring Fling,2010-04-03,38,6.215,31.142537128431005,31.0,8.0
112, Run Lu Lu Run,2008-08-17,37,6.215,31.30050079634088,31.0,18.0
60, Law Days 10k,1999-05-01,27,6.215,31.434769914064265,31.0,26.0
17, Leicester,1987-09-06,16,5.0,31.5,31.0,30.0
101, Santa Claus Half,2007-07-07,35,13.112,31.641823255968653,31.0,38.0
24, sileby,1988-09-11,17,9.0,31.729044194225057,31.0,43.0
152, Valkyries,2012-07-14,40,5.37,31.73673767877836,31.0,44.0
83, Crossdale 10k,2004-09-05,33,6.215,31.805984533652467,31.0,48.0
80, Desford 10k,2004-03-28,32,6.215,31.908660917793878,31.0,54.0
127, Final leg of Skagway-Whitehorse Klondike Relay,2009-09-12,38,12.1,31.989247781192752,31.0,59.0
110, Fairbanks run for women,2008-06-01,36,5.0,32.15,32.0,8.0
169, Midnight Sun Run,2014-06-21,42,6.215,32.232486437009115,32.0,13.0
125, Run Lu Lu Run,2009-08-15,38,6.837,32.29126819944076,32.0,17.0
177, Midnight Sun Run,2016-06-18,44,6.215,32.48522830566491,32.0,29.0
88, Holme Pierrepont,2005-07-28,34,6.215,32.48522830566491,32.0,29.0
161, Midnight Sun Run,2013-06-22,41,6.215,32.516821039246885,32.0,31.0
143, Santa Claus Half,2010-08-07,39,13.112,32.52979681540974,32.0,31.0
71, Santa Claus Half M,1999-07-10,27,13.112,32.52979681540974,32.0,31.0
138, Midnight Sun Run,2010-06-19,38,6.215,32.59580287320182,32.0,35.0
150, Midnight Sun Run,2012-06-23,40,6.215,32.611599239992806,32.0,36.0
52, Santa Claus Half M,1998-08-08,27,13.112,32.613843695521446,32.0,36.0
79, Trent Toll Bridge (Notts AC),2003-07-26,32,5.0,32.62,32.0,37.0
