,Description,Date,Age,Miles,eq25_HMa,Minutes,Seconds
101, Santa Claus Half,2007-07-07,35,13.112,83.63,83.0,37.0
143, Santa Claus Half,2010-08-07,39,13.112,83.78,83.0,46.0
34, St Andrews Half,1991-05-15,19,13.112,84.4,84.0,24.0
124, Santa Claus Half,2009-08-08,38,13.112,85.5,85.0,30.0
71, Santa Claus Half M,1999-07-10,27,13.112,88.97,88.0,58.0
142, Gold Discovery.,2010-07-25,39,16.3,89.12510778744905,89.0,7.0
52, Santa Claus Half M,1998-08-08,27,13.112,89.18,89.0,10.0
75, Gold Discovery Run,2000-07-23,29,16.3,90.33421650640835,90.0,20.0
25, Bellshire Half M in Melton,1988-10-18,17,13.112,90.73,90.0,43.0
84, Robin Hood Half Marathon,2004-09-12,33,13.112,91.3,91.0,17.0
85, Turkey Trot - Keyworth,2004-12-12,33,12.6,91.76209665220156,91.0,45.0
51, Gold Discovery Run,1998-07-26,27,16.3,93.23932336135753,93.0,14.0
155, Santa Claus Half,2012-08-04,41,13.112,98.13,98.0,7.0
128, Equinox Marathon,2009-09-18,38,26.224,101.57225540882533,101.0,34.0
91, Turkey Trot - Keyworth,2005-12-11,34,13.112,102.0,102.0,0.0
74, Santa Claus Half M,2000-07-01,28,13.112,102.5,102.0,30.0
145, Equinox Marathon,2010-09-18,39,26.224,104.74935209995107,104.0,44.0
154, Gold Discovery Run,2012-07-22,41,16.3,105.26549196201304,105.0,15.0
173, Spacecoast Marathon,2015-11-29,44,26.224,108.17302942979101,108.0,10.0
113, Equinox Marathon,2008-09-18,37,26.224,108.64722296577993,108.0,38.0
157, Equinox Marathon,2012-09-15,41,26.224,110.66254549373282,110.0,39.0
55, Equinox Marathon,1998-09-19,27,26.224,116.1631905112042,116.0,9.0
36, Leeds Half M,1995-07-01,23,13.112,119.2,119.0,12.0
165, Sourdough Triathlon,2013-07-14,41,13.112,121.68000000000002,121.0,40.0
78, Leeds Half M with Tanya,2001-06-01,29,13.112,139.25,139.0,15.0
