Age, MPH_diff
25, 0.00
26, 0.00
27, 0.02
28, 0.03
29, 0.05
30, 0.07
31, 0.09
32, 0.12
33, 0.16
34, 0.20
35, 0.25
36, 0.31
37, 0.37
38, 0.44
39, 0.52
40, 0.61
41, 0.69
42, 0.78
43, 0.88
44, 0.97
45, 1.07
46, 1.17
47, 1.27
48, 1.37
49, 1.47
50, 1.58
51, 1.68
52, 1.78
53, 1.89
54, 1.99
55, 2.09
56, 2.19
57, 2.29
58, 2.39
59, 2.49
60, 2.58
61, 2.68
62, 2.78
63, 2.87
64, 2.97
65, 3.07
66, 3.18
67, 3.28
68, 3.39
69, 3.50
70, 3.62
71, 3.75
72, 3.87
73, 4.01
74, 4.15
75, 4.30
76, 4.46
77, 4.63
78, 4.81
79, 5.01
80, 5.21
81, 5.44
82, 5.67
83, 5.93
84, 6.18
85, 6.45
86, 6.74
87, 7.02
88, 7.30
89, 7.59
90, 7.87

